title;serial_number;category;description;seniority_level;industry_name;products;tools_and_tech;tags;metadata;score
Treasurer;JOB-000018;;Treasurers manage a company's financial assets, including cash flow, investments, and risk management strategies.;;;"Cash management reports;investment plans";"SAP;Excel;Treasury Management Systems;Bloomberg Terminal;Python";;;
Internal Auditor;JOB-000019;;Internal auditors review and evaluate financial and operational processes to ensure compliance, efficiency, and risk mitigation within an organization.;;;"Audit reports;compliance reviews";"SAP;Oracle;ACL;TeamMate;Microsoft Office";;;
Compliance Manager;JOB-000020;;Compliance managers develop and enforce policies to ensure an organization adheres to laws, regulations, and internal standards.;;;"Compliance reports;policy guidelines";"Compliance software;SAP;SharePoint;Excel;LexisNexis";;;
Compliance Officer;JOB-000021;;Compliance officers monitor and report on organizational adherence to legal standards, ensuring that financial and operational activities meet regulatory requirements.;;;"Compliance audit reports;risk assessments";"Compliance software;Excel;SAP;GRC platforms (e.g.;MetricStream;LogicGate)";;;
Real Estate Analyst;JOB-000022;;Real estate analysts assess property values, market trends, and investment opportunities, providing data-driven recommendations for investment decisions.;;;"Market analysis reports;property valuations";"Argus;Excel;CoStar;REFM;GIS software;Tableau";;;
Risk Analyst;JOB-000023;;Risk analysts identify, evaluate, and manage financial and operational risks, using quantitative methods to protect an organization's assets.;;;"Risk models;risk assessments";"Excel;MATLAB;Python;R;Bloomberg Terminal;Risk Management software";;;
Administrative Coordinator;JOB-000024;;Administrative coordinators manage daily office tasks, including scheduling, correspondence, and organizing meetings and events.;;;"Schedules;event planning;reports";"Microsoft Office;Google Workspace;Trello;Asana;Zoom";;;
Executive Assistant;JOB-000025;;Executive assistants support high-level executives by managing their calendars, arranging meetings, and performing administrative duties.;;;"Calendar schedules;meeting agendas";"Microsoft Office;Google Calendar;Zoom;Slack;Concur";;;
Office Assistant;JOB-000026;;Office assistants handle basic administrative tasks such as answering phones, organizing files, and assisting with office operations.;;;"Filing systems;office organization";"Microsoft Office;Google Workspace;Excel;Word";;;
Office Head;JOB-000027;;The office head oversees office operations, including managing staff, budgets, and overall office efficiency.;;;"Office management reports;team coordination";"Microsoft Office;Google Workspace;Project management tools (Asana;Trello)";;;
Office Manager;JOB-000028;;Office managers supervise office functions, ensure smooth operations, manage supplies, and support administrative teams.;;;"Office systems;inventory management";"Microsoft Office;Google Workspace;QuickBooks;Office management software";;;
Graphic Designer;JOB-000029;;Graphic designers create visual content, from logos and websites to marketing materials, ensuring they align with brand identity.;;;"Logos;brochures;websites;advertisements";"Adobe Creative Suite (Photoshop;Illustrator;InDesign);Figma;Sketch;Canva";;;
Civil Engineer;JOB-000030;;Civil engineers design, plan, and oversee construction projects like roads, bridges, and buildings, ensuring safety, functionality, and environmental impact.;;;"Construction blueprints;project plans";"AutoCAD;Revit;Civil 3D;GIS software;SAP2000;ETABS";;;
Electrical Engineer;JOB-000031;;Electrical engineers design and test electrical systems and equipment, ensuring efficiency and safety in applications ranging from consumer electronics to power grids.;;;"Electrical schematics;system designs";"AutoCAD Electrical;MATLAB;Simulink;PLC software;LabVIEW;PSpice";;;
Mechanical Engineer;JOB-000032;;Mechanical engineers design, analyze, and manufacture mechanical systems, ensuring functionality and durability in industries like automotive and manufacturing.;;;"Product prototypes;mechanical designs";"SolidWorks;AutoCAD;MATLAB;CATIA;ANSYS;FEA software";;;
Process Engineer;JOB-000033;;Process engineers design, implement, and optimize industrial processes in manufacturing and production to ensure efficiency, quality, and cost-effectiveness.;;;"Optimized production processes;cost savings";"AutoCAD;MATLAB;Process Simulation Software;Aspen Plus;PLCs";;;
Team Lead;JOB-000034;;Team leads supervise and guide team members to meet goals, improve productivity, and foster a collaborative work environment.;;;"Team performance;project results";"Slack;Microsoft Teams;Asana;Trello;Zoom;Google Workspace";;;
Interpreter-Translator;JOB-000035;;Interpreters and translators convert spoken or written content from one language to another, ensuring accuracy and cultural sensitivity.;;;"Translated documents;verbal translations";"CAT tools (SDL Trados;MemoQ);Word;Google Translate;Speech-to-text software";;;
Language Lead;JOB-000036;;Language leads oversee translation projects, manage teams of translators, and ensure quality and accuracy in linguistic services across various languages.;;;"Translated materials;multilingual content";"CAT tools;Project management software (Trello;Asana);Word;Excel";;;
Facilities Manager;JOB-000037;;Facilities managers oversee the day-to-day operations of an organization's physical workspace, ensuring maintenance, safety, and efficiency.;;;"Maintenance schedules;facility reports";"CMMS (Computerized Maintenance Management Systems);Microsoft Office;AutoCAD";;;
Logistics Coordinator;JOB-000038;;Logistics coordinators manage the supply chain, ensuring the timely and cost-effective transportation and storage of goods.;;;"Shipping schedules;inventory reports";"SAP;Excel;Oracle;logistics management software (Transporeon;FourKites)";;;
Maintenance Supervisor;JOB-000039;;Maintenance supervisors oversee the maintenance and repair of equipment and facilities, ensuring smooth operational flow.;;;"Equipment repair logs;maintenance schedules";"CMMS;Excel;AutoCAD;PLCs;inventory management systems";;;
Operations Manager;JOB-000040;;Operations managers oversee all aspects of daily business activities, optimizing processes to enhance efficiency, reduce costs, and improve performance.;;;"Operational reports;process optimization";"Microsoft Office;SAP;Oracle;ERP systems;Lean management tools";;;
Plant Manager;JOB-000041;;Plant managers oversee manufacturing facilities, ensuring efficient production, safety, and compliance with regulations.;;;"Production schedules;plant safety records";"ERP software (SAP;Oracle);AutoCAD;CMMS;Lean Six Sigma tools";;;
Production Supervisor;JOB-000042;;Production supervisors manage the daily activities of production workers, ensuring product quality and on-time completion.;;;"Production output;quality control reports";"Excel;MES software;SAP;Production scheduling tools";;;
Project Manager;JOB-000043;;Project managers plan, execute, and close projects, ensuring they are completed on time, within scope, and within budget.;;;"Project plans;timelines;budget reports";"MS Project;Trello;Asana;Jira;Slack;Microsoft Office";;;
Quality Control Analyst;JOB-000044;;Quality control analysts test and inspect products or processes to ensure they meet established standards and regulations.;;;"Quality reports;inspection logs";"Excel;Minitab;Statistical Process Control (SPC) software;CAD software";;;
Lab Technician;JOB-000045;;Lab technicians conduct scientific experiments, maintain equipment, and analyze data to assist in research and development projects.;;;"Research findings;test results";"Lab equipment;MATLAB;Python;Excel;PCR machines;microscopes";;;
Business Planner;JOB-000046;;Business planners develop strategic plans that align company goals with market opportunities, analyzing trends and forecasts.;;;"Business plans;market analysis reports";"Microsoft Office;Power BI;Tableau;Excel;strategic planning tools";;;
Compensation and Benefits Specialist;JOB-000047;;Compensation and benefits specialists manage employee pay, benefits packages, and compensation plans, ensuring compliance and competitiveness.;;;"Compensation reports;benefits strategies";"SAP;Workday;ADP;Excel;PayScale;PeopleSoft";;;
HR Generalist;JOB-000048;;HR generalists handle various HR functions, including recruitment, employee relations, performance management, and policy implementation.;;;"Employee records;performance reviews";"Workday;SAP SuccessFactors;BambooHR;ADP;Microsoft Office";;;
HR Manager;JOB-000049;;HR managers oversee HR teams, ensuring the effective management of recruitment, training, employee relations, and performance management.;;;"HR strategy reports;employee programs";"Workday;SAP;PeopleSoft;HRIS systems;Microsoft Office";;;
HR Recruiter;JOB-000050;;HR recruiters source, screen, and hire talent for an organization, managing the recruitment process from job postings to interviews.;;;"Recruitment reports;candidate pipelines";"LinkedIn Recruiter;Workday;BambooHR;ATS systems (Greenhouse;Lever)";;;
Recruiter;JOB-000051;;Recruiters focus on finding and attracting qualified candidates for job openings, guiding them through the hiring process.;;;"Job offers;candidate databases";"LinkedIn;Indeed;ATS software;Microsoft Office;Zoom";;;
HR Business Partner;JOB-000052;;HR business partners work closely with business leaders to align HR practices with business goals, focusing on workforce planning, development, and strategy.;;;"HR strategy reports;talent management plans";"SAP SuccessFactors;Workday;Excel;Power BI";;;
Ethics Officer;JOB-000053;;Ethics officers develop and enforce ethical guidelines, ensuring compliance with laws and regulations within an organization.;;;"Ethics policies;compliance reports";"Legal software;Microsoft Office;Compliance management systems (GRC)";;;
AI Programmer;JOB-000054;;AI programmers design and implement artificial intelligence algorithms and systems, creating intelligent solutions for a range of applications.;;;"AI models;machine learning algorithms";"Python;TensorFlow;PyTorch;Keras;Jupyter Notebooks;AWS";;;
AI Research Scientist;JOB-000055;;AI research scientists conduct advanced research in artificial intelligence, developing new methodologies and pushing the boundaries of machine learning and AI.;;;"Research papers;AI algorithms";"Python;TensorFlow;PyTorch;MATLAB;Jupyter Notebooks;GPU computing";;;
Analytics Manager;JOB-000056;;Analytics managers oversee data analytics teams, guiding them in deriving actionable insights from large datasets to inform business decisions.;;;"Analytics reports;data insights";"SQL;Tableau;Power BI;Python;R;Hadoop;Google Analytics;Excel";;;
Android Developer;JOB-000057;;Android developers create mobile applications for Android devices, ensuring seamless user experiences and integration with various device features.;;;"Android apps;mobile solutions";"Java;Kotlin;Android Studio;Firebase;REST APIs;Git";;;
AR VR Developer;JOB-000058;;AR/VR developers design and implement augmented and virtual reality experiences, creating immersive environments for entertainment, training, and other applications.;;;"AR/VR apps;immersive experiences";"Unity;Unreal Engine;C#;ARCore;ARKit;VR hardware (HTC Vive;Oculus Rift)";;;
Augmented Reality (AR) Programmer;JOB-000059;;AR programmers develop software that overlays digital content onto the real world, enhancing user interactions through augmented reality technology.;;;"AR applications;interactive content";"Unity;ARCore;ARKit;Vuforia;C#;OpenCV";;;
Back-End Developer;JOB-000060;;Back-end developers focus on server-side programming, building and maintaining the infrastructure that supports web applications and databases.;;;"Web services;APIs;server-side systems";"Java;Python;Ruby;Node.js;SQL;MongoDB;RESTful APIs;Docker";;;
BI Developer;JOB-000061;;Business Intelligence (BI) developers design and implement systems that help organizations analyze and interpret data to improve decision-making.;;;"BI dashboards;reporting tools";"SQL;Power BI;Tableau;SSRS;ETL tools;DAX;Python";;;
Big Data Engineer;JOB-000062;;Big Data engineers design and manage systems for processing and analyzing large sets of structured and unstructured data across distributed systems.;;;"Big Data platforms;data pipelines";"Hadoop;Spark;Hive;NoSQL databases;Kafka;Python;Scala";;;
Blockchain Developer;JOB-000063;;Blockchain developers create decentralized applications and blockchain platforms, focusing on secure transactions and data integrity using distributed ledger technology.;;;"Blockchain apps;decentralized solutions";"Ethereum;Solidity;Node.js;Hyperledger;Truffle;Web3.js";;;
Business Intelligence Analyst;JOB-000064;;BI analysts evaluate and interpret data to provide insights and recommendations that guide business strategy and improve performance.;;;"Data reports;business insights";"Excel;Power BI;Tableau;SQL;Google Analytics;R";;;
Business Intelligence Developer;JOB-000065;;BI developers design and implement the infrastructure for data analysis, creating dashboards, reports, and other tools for decision-making.;;;"BI systems;reporting solutions";"SQL;Power BI;Tableau;SSRS;ETL tools;SQL Server;DAX";;;
Business Objects Developer;JOB-000066;;Business Objects developers create and manage business intelligence applications, focusing on data integration, reporting, and analytics.;;;"Reports;dashboards;data analysis";"SAP BusinessObjects;Crystal Reports;SQL;Web Intelligence";;;
Business Analyst;JOB-000067;;Business analysts assess business processes and identify opportunities for improvement, translating business needs into technical solutions.;;;"Requirements documents;business solutions";"SQL;Excel;Jira;Microsoft Office;BPM tools";;;
Chief Information Officer (CIO);JOB-000068;;The CIO oversees the IT strategy and operations of an organization, ensuring technology aligns with business goals and drives innovation.;;;"IT strategy;technology roadmaps";"ERP systems;IT governance tools;cloud solutions;project management tools";;;
Cloud Engineer;JOB-000069;;Cloud engineers design, implement, and maintain cloud-based solutions, ensuring scalability, security, and performance across cloud environments.;;;"Cloud infrastructure;cloud services";"AWS;Azure;Google Cloud;Terraform;Kubernetes;Docker;Python;Linux";;;
Cross-Platform Developer;JOB-000070;;Cross-platform developers build applications that run seamlessly on multiple operating systems, reducing development time and cost.;;;"Multi-platform apps;mobile/web solutions";"React Native;Flutter;Xamarin;JavaScript;Java;Dart";;;
Cybersecurity Analyst;JOB-000071;;Cybersecurity analysts protect an organization's systems and data from cyber threats by monitoring for security breaches, vulnerabilities, and attacks.;;;"Security protocols;vulnerability reports";"Firewalls;SIEM;VPNs;IDS/IPS;Wireshark;Kali Linux;Python";;;
Data Analyst;JOB-000072;;Data analysts interpret complex data to help organizations make data-driven decisions, often working with raw data and presenting findings to stakeholders.;;;"Data reports;data visualizations";"Excel;SQL;Tableau;Power BI;R;Python;Google Analytics";;;
Data Analytics Consultant;JOB-000073;;Data analytics consultants help organizations optimize their data strategy, analyzing business data to provide actionable insights for growth.;;;"Analytics reports;recommendations";"SQL;R;Python;Power BI;Tableau;SAS;Hadoop;Excel";;;
Data Architect;JOB-000074;;Data architects design and structure data systems, ensuring that data is accessible, secure, and scalable across various platforms and applications.;;;"Data architecture;data models";"SQL;NoSQL;Hadoop;Spark;AWS;Google Cloud;MongoDB;Erwin Data Modeler";;;
Data Center Engineer;JOB-000075;;Data center engineers manage and maintain the physical and virtual infrastructure of data centers, ensuring high availability, performance, and security.;;;"Data center infrastructure;network systems";"Server hardware;virtualization tools (VMware;Hyper-V);Linux;Python;SNMP";;;
Data Engineer;JOB-000076;;Data engineers design, build, and maintain data pipelines and infrastructure, ensuring smooth flow and storage of data for analysis.;;;"Data pipelines;data storage systems";"SQL;Python;Hadoop;Spark;Kafka;ETL tools;AWS;Azure";;;
Data Modeler;JOB-000077;;Data modelers design data models, structures, and databases, ensuring that data is stored efficiently and can be easily accessed for analysis.;;;"Data models;data structures";"Erwin;IBM InfoSphere;SQL;NoSQL;UML;PowerDesigner";;;
Data Scientist;JOB-000078;;Data scientists analyze complex data sets using advanced statistical, mathematical, and programming techniques to build models and predictions.;;;"Predictive models;machine learning algorithms";"Python;R;TensorFlow;Hadoop;Spark;SQL;Jupyter Notebooks";;;
Database Administrator (DBA);JOB-000079;;DBAs manage and maintain databases, ensuring their performance, integrity, and security while troubleshooting and resolving issues.;;;"Database performance;backups;security";"SQL;Oracle;MySQL;MongoDB;DB2;T-SQL;PostgreSQL;Backup tools";;;
Database Support Specialist;JOB-000080;;Database support specialists provide technical support for database systems, troubleshooting issues and ensuring smooth operations.;;;"Database maintenance;troubleshooting";"SQL;Oracle;MySQL;PostgreSQL;T-SQL;DB2";;;
Database Tester;JOB-000081;;Database testers validate and test databases to ensure data accuracy, integrity, and functionality by executing test cases and identifying bugs.;;;"Test reports;database issues";"SQL;Selenium;JMeter;TestComplete;DB2;Oracle";;;
Datawarehouse Specialist;JOB-000082;;Data warehouse specialists design, implement, and manage large-scale data storage systems, ensuring that data is organized, accessible, and optimized for analysis.;;;"Data warehouses;ETL pipelines";"SQL;Oracle;Hadoop;AWS Redshift;Microsoft SQL Server;Informatica;Talend";;;
Deep Learning Specialist;JOB-000083;;Deep learning specialists focus on advanced machine learning techniques, creating neural networks and AI models for tasks like image recognition and natural language processing.;;;"Deep learning models;AI applications";"TensorFlow;PyTorch;Keras;Python;CUDA;Jupyter Notebooks";;;
Desktop Support Technician;JOB-000084;;Desktop support technicians troubleshoot and resolve hardware and software issues on desktops and laptops, providing technical support to end users.;;;"Resolved technical issues;support tickets";"Windows OS;Mac OS;Active Directory;ServiceNow;Remote Desktop tools;TeamViewer";;;
DevOps Engineer;JOB-000085;;DevOps engineers automate and streamline the deployment, integration, and monitoring of applications and infrastructure, ensuring faster development cycles.;;;"Continuous integration pipelines;deployment automation";"Jenkins;Docker;Kubernetes;Git;Terraform;AWS;Azure;Ansible;Chef;Puppet";;;
ETL Developer;JOB-000086;;ETL (Extract, Transform, Load) developers design and manage data workflows to extract data from various sources, transform it into a usable format, and load it into databases.;;;"ETL pipelines;data transformations";"SQL;Informatica;Talend;Microsoft SSIS;Apache Nifi;Python;DataStage";;;
Extended Reality (XR) Programmer;JOB-000087;;XR programmers create immersive experiences using augmented reality (AR), virtual reality (VR), and mixed reality (MR), developing applications for various industries.;;;"XR applications;immersive experiences";"Unity;Unreal Engine;C#;XR SDKs (ARCore;ARKit;Vuforia);OpenCV;Oculus SDK";;;
Front-End Developer;JOB-000088;;Front-end developers design and build the user-facing components of websites and applications, ensuring responsive design and user experience.;;;"Websites;user interfaces;web apps";"HTML;CSS;JavaScript;React;Angular;Vue.js;Bootstrap;Sass;jQuery";;;
Full-Stack Developer;JOB-000089;;Full-stack developers handle both the front-end and back-end of web applications, ensuring smooth communication between the user interface and databases.;;;"Full web applications;APIs;services";"HTML;CSS;JavaScript;Node.js;React;Angular;MongoDB;SQL;Docker;Git";;;
Informatica Developer;JOB-000090;;Informatica developers design and implement data integration solutions using Informatica tools to facilitate data movement and transformation across platforms.;;;"ETL processes;data integrations";"Informatica PowerCenter;SQL;Data Warehousing tools;Unix;Shell scripting";;;
Information Security Analyst;JOB-000091;;Information security analysts assess and secure an organization's IT infrastructure by identifying vulnerabilities, monitoring systems, and responding to incidents.;;;"Security protocols;vulnerability reports";"SIEM tools;Firewalls;VPNs;IDS/IPS;Splunk;Wireshark;Nessus;Kali Linux";;;
Information Security Officer;JOB-000092;;Information security officers develop and enforce policies to protect sensitive data and networks from internal and external threats.;;;"Security policies;compliance reports";"SIEM tools;firewalls;endpoint security;encryption tools;compliance software";;;
Infrastructure Architect;JOB-000093;;Infrastructure architects design and manage the underlying IT infrastructure, ensuring that systems are scalable, secure, and reliable to support business operations.;;;"IT infrastructure;architecture plans";"VMware;AWS;Azure;Cisco;Terraform;Ansible;Linux;Windows Server";;;
iOS Developer;JOB-000094;;iOS developers create applications for Apple's ecosystem, ensuring a seamless user experience across iPhones, iPads, and other Apple devices.;;;"iOS apps;mobile solutions";"Swift;Xcode;Objective-C;Cocoa Touch;Firebase;RESTful APIs;Git";;;
IoT Specialist;JOB-000095;;IoT specialists design and manage interconnected systems and devices, ensuring secure data transfer and real-time functionality for the Internet of Things.;;;"IoT solutions;connected devices";"Arduino;Raspberry Pi;MQTT;Zigbee;Bluetooth;Python;IoT frameworks";;;
IT Support Specialist;JOB-000096;;IT support specialists provide technical assistance for users, troubleshooting hardware/software issues and maintaining systems and networks.;;;"Technical support tickets;system maintenance";"Windows OS;macOS;Active Directory;Helpdesk software;Remote Desktop tools";;;
IT Technician;JOB-000097;;IT technicians install, configure, and maintain hardware and software systems, assisting users and ensuring smooth operation of company devices and systems.;;;"Hardware setup;software installation";"Windows OS;macOS;Network configuration tools;Antivirus software;ServiceNow";;;
Machine Learning Engineer;JOB-000098;;Machine learning engineers develop algorithms that allow systems to improve over time based on data, working with large datasets to build predictive models.;;;"Machine learning models;data-driven insights";"Python;R;TensorFlow;PyTorch;Scikit-learn;Keras;Jupyter Notebooks;Hadoop";;;
MicroStrategy Developer;JOB-000099;;MicroStrategy developers design and implement business intelligence solutions using the MicroStrategy platform, focusing on reporting and data analysis.;;;"BI reports;data analytics platforms";"MicroStrategy;SQL;Tableau;Oracle;Power BI;Excel;DAX";;;
Mixed Reality (MR) Programmer;JOB-000100;;MR programmers develop interactive and immersive experiences using both virtual and augmented reality, blending the real and virtual worlds.;;;"MR applications;interactive content";"Unity;Unreal Engine;C#;MR SDKs;HoloLens;ARKit;ARCore;OpenXR";;;
