name;slug;ownership;mission;known_for;project;research_areas;products;services;budget;founded;score;city_name;numberOfEmployees;parent_organization_name;metadata;authority;collections;description;facilities;founders;jurisdiction;members;offices;partners;personnel;programs_activities;serial_number;subsidiaries;subtype;type1;type2;student_count;undergraduates;postgraduates;countries;industries;working_area_cities
Brivona Realty;brivona-realty;Private;;;;;"Property Leasing;Facility Management";;;2005;;Toronto;RANGE_201_1000;;;;;;;;;;;;;;COM-000019;5;COMPANY;Local Company;;;;;;Real Estate;
Chinese Academy of Sciences;chinese-academy-of-sciences;;;"World's largest public research organization; major contributions to space, quantum science, and AI";;"Physics;chemistry;biology;AI;Earth science;engineering;space science";"Tens of thousands of publications annually;world-leading citation output";;Government funding, competitive grants, industry;1949;;Beijing;RANGE_5000_PLUS;;;;;;;;;;;"Universities;industry;international research institutes";;;RES-000001;100+ institutes;RESEARCH_INSTITUTE;National research organization;;;;;;;
Médecins Sans Frontières;medecins-sans-frontieres;;Provide emergency medical care where needed;Independent emergency medical aid in crises;;;;;Mostly private donors;1971;;Geneva;RANGE_5000_PLUS;;;;;;;;;;70+ countries;"Hospitals;ministries of health;UN agencies";;"Emergency medicine;epidemics;conflict response";NGO-000005;;NGO;Medical humanitarian NGO;;;;;;;
Helmholtz Association;helmholtz-association;;;Germany's largest scientific organization;;"Energy;health;Earth systems;aerospace;information;matter";"High-impact publications;major research infrastructures";;Federal and state governments, EU, industry;1995;;;RANGE_5000_PLUS;;;;;;;;;;;"Universities;European Organization for Nuclear Research;industry";;;RES-000002;18 research centers;RESEARCH_INSTITUTE;National research organization;;;;;;;
Centre National de la Recherche Scientifique;centre-national-de-la-recherche-scientifique;;;Europe's largest basic research organization;;"Natural sciences;engineering;humanities;social sciences";Among the world's highest publication outputs;;French government, EU grants;1939;;Paris;RANGE_5000_PLUS;;;;;;;;;;;"Universities;industry;international institutes";;;RES-000003;1,100+ laboratories;RESEARCH_INSTITUTE;National research organization;;;;;;;
Max Planck Society;max-planck-society;;;Fundamental research and Nobel Prize-winning science;;"Biology;physics;chemistry;medicine;computer science;humanities";"Exceptionally high citation impact;numerous Nobel-winning discoveries";;German federal and state governments;1948;;Munich;RANGE_5000_PLUS;;;;;;;;;;;Universities worldwide;;;RES-000004;84 institutes;RESEARCH_INSTITUTE;Independent research organization;;;;;;;
National Institutes of Health;national-institutes-of-health;;;World's largest public biomedical research organization;;Biomedical and clinical research;Thousands of biomedical publications annually;;U.S. federal government;1887;;;RANGE_5000_PLUS;;;;;;;;;;;"Universities;hospitals;biotech companies";;;RES-000005;27 institutes and centers;RESEARCH_INSTITUTE;Government biomedical research agency;;;;;;;
European Organization for Nuclear Research;european-organization-for-nuclear-research;;;Discovery of the Higgs boson and development of the World Wide Web;;"Particle physics;accelerator science;computing";Thousands of papers annually;;Member state contributions;1954;;Geneva;RANGE_1001_5000;;;;;;;;;;;"Universities;national laboratories";;;RES-000006;Major accelerator complexes;RESEARCH_INSTITUTE;International research organization;;;;;;;
Fraunhofer Society;fraunhofer-society;;;Europe's leading applied research network;;"Applied engineering;manufacturing;AI;materials;ICT";Thousands of patents and industry publications;;Government funding, industrial contracts;1949;;Munich;RANGE_5000_PLUS;;;;;;;;;;;"Companies;universities";;;RES-000007;76 institutes;RESEARCH_INSTITUTE;Applied research organization;;;;;;;
Commonwealth Scientific and Industrial Research Organisation;commonwealth-scientific-and-industrial-research-organisation;;;Wi-Fi innovations, agriculture, environmental science;;"Agriculture;climate;mining;health;energy;digital technologies";"Thousands of publications;patents;and commercial technologies";;Australian government, industry, grants;1916;;Canberra;RANGE_5000_PLUS;;;;;;;;;;;"Universities;government;industry";;;RES-000008;50+ sites;RESEARCH_INSTITUTE;National research agency;;;;;;;
RIKEN;riken;;;Home of the Fugaku supercomputer and advanced biomedical research;;"Physics;chemistry;life sciences;supercomputing;AI";High-impact publications in life sciences and computing;;Japanese government, grants;1917;;;RANGE_1001_5000;;;;;;;;;;;"Universities;industry;international institutes";;;RES-000009;7 major campuses and research centers;RESEARCH_INSTITUTE;National research institute;;;;;;;
Argonne National Laboratory;argonne-national-laboratory;;;Advanced Photon Source, exascale computing, clean energy research;;"Energy;computing;materials science;nuclear science;AI";Thousands of publications and major user-facility research;;U.S. federal government;1946;;;RANGE_1001_5000;;;;;;;;;;;"Universities;industry;national laboratories";;;RES-000010;Multiple scientific divisions and facilities;RESEARCH_INSTITUTE;National laboratory;;;;;;;
BRAC;brac;;Reduce poverty and empower people through sustainable development;"World's largest NGO by workforce; major poverty reduction programs";;;;;Donations, governments, development banks, enterprises;1972;;;RANGE_5000_PLUS;;;;;;;;;;10+ countries;"UNICEF;World Bank";;"Education;health;microfinance;agriculture;livelihoods";NGO-000001;;NGO;International development NGO;;;;;;;
World Vision International;world-vision-international;;Improve children's lives and communities;One of the largest child-focused NGOs;;;;;Child sponsorship, donations, government grants;1950;;;RANGE_5000_PLUS;;;;;;;;;;~100 countries;"United Nations;governments";;"Child sponsorship;disaster relief;WASH;health";NGO-000002;;NGO;Christian humanitarian NGO;;;;;;;
The Salvation Army;the-salvation-army;;Meet human needs without discrimination;Extensive social services and emergency response;;;;;Donations, thrift stores, government contracts;1865;;London;RANGE_5000_PLUS;;;;;;;;;;130+ countries;"Governments;local charities";;"Homelessness;disaster relief;addiction recovery";NGO-000003;;NGO;Faith-based humanitarian NGO;;;;;;;
CARE International;care-international;;Defeat poverty and achieve social justice;Women's empowerment and humanitarian response;;;;;Institutional donors, governments, individuals;1945;;Geneva;RANGE_5000_PLUS;;;;;;;;;;100+ countries;"European Union;United Nations";;"Food security;women's empowerment;emergency relief";NGO-000004;;NGO;Humanitarian NGO;;;;;;;
Oxfam International;oxfam-international;;End poverty and inequality;Campaigns against inequality and humanitarian assistance;;;;;Public donations, governments, foundations;1995 (confederation);;;RANGE_5000_PLUS;;;;;;;;;;80+ countries;"UN agencies;NGOs";;"Humanitarian aid;advocacy;economic justice";NGO-000006;;NGO;Humanitarian & advocacy NGO;;;;;;;
Save the Children;save-the-children;;Improve children's lives worldwide;Global leader in child welfare and emergency response;;;;;Donations, governments, foundations;1919;;London;RANGE_5000_PLUS;;;;;;;;;;100+ countries;"UNICEF;governments";;"Child protection;education;nutrition;emergencies";NGO-000007;;NGO;Children's rights NGO;;;;;;;
International Rescue Committee;international-rescue-committee;;Help people affected by conflict and disaster;Refugee protection and resettlement;;;;;Governments, foundations, private donors;1933;;New York City;RANGE_5000_PLUS;;;;;;;;;;40+ countries;United Nations High Commissioner for Refugees;;"Refugee assistance;health;education;economic recovery";NGO-000008;;NGO;Humanitarian NGO;;;;;;;
Mercy Corps;mercy-corps;;Build resilient communities and reduce suffering;Innovation in resilience and development programs;;;;;Government grants, donations, foundations;1979;;;RANGE_5000_PLUS;;;;;;;;;;40+ countries;"USAID;UN agencies;local NGOs";;"Food security;climate resilience;economic development";NGO-000009;;NGO;Humanitarian & development NGO;;;;;;;
Habitat for Humanity International;habitat-for-humanity-international;;Build decent and affordable housing;Largest volunteer-driven affordable housing organization;;;;;Donations, corporate sponsors, grants;1976;;;RANGE_1001_5000;;;;;;;;;;70+ countries;"Governments;corporations;local nonprofits";;"Home construction;disaster recovery;housing finance";NGO-000010;;NGO;Housing NGO;;;;;;;
Department of Education;department-of-education;;;;;;;;~$250 billion (varies with student loan activity);1979;;;;;;;;;;"Department of Health;Education;and Welfare";Federal education policy and student aid;;;;;;AGE-000008;;GOVERNMENT;;;;;;;;
Department of Energy (DOE);department-of-energy-doe;;;;;;;;~$50–60 billion;1977;;;;;;;;;;Energy Research and Development Administration and Federal Energy Administration;Energy policy, nuclear security, scientific research;;;;;;AGE-000010;;GOVERNMENT;;;;;;;;
Securities and Exchange Commission (SEC);securities-and-exchange-commission-sec;;;;;;;;~$2.6 billion;1934;;;RANGE_5000_PLUS;;;;;;;;U.S. securities markets;;;;;;AGE-000011;11 Regional Offices, Divisions, and Offices;GOVERNMENT;;;;;;;;
Federal Trade Commission (FTC);federal-trade-commission-ftc;;;;;;;;~$500 million;1914;;;RANGE_1001_5000;;;;;Regulates securities markets, protects investors, and enforces securities laws;;;Commerce and consumer protection;;;;;;AGE-000012;Regional Offices, Bureaus of Competition, Consumer Protection, and Economics;GOVERNMENT;;;;;;;;
Federal Communications Commission (FCC);federal-communications-commission-fcc;;;;;;;;~$390 million;1934;;;RANGE_1001_5000;;;;;Enforces antitrust and consumer protection laws;;;Telecommunications, broadcasting, satellite, broadband;;;;;;AGE-000013;Enforcement Bureau, Media Bureau, Wireline Competition Bureau, regional field operations;GOVERNMENT;;;;;;;;
Nuclear Regulatory Commission (NRC);nuclear-regulatory-commission-nrc;;;;;;;;~$1.1 billion;1974;;;RANGE_1001_5000;;;;;Regulates interstate and international communications;;;Civilian nuclear safety;;;;;;AGE-000014;Four Regional Offices and program offices;GOVERNMENT;;;;;;;;
Federal Energy Regulatory Commission (FERC);federal-energy-regulatory-commission-ferc;;;;;;;;~$550 million;1977;;;RANGE_1001_5000;;;;;Licenses and regulates civilian nuclear facilities and materials;;;Interstate energy infrastructure and wholesale energy markets;;;;;;AGE-000015;Office of Energy Projects, Office of Enforcement, regional operations;GOVERNMENT;;;;;;;;
Equal Employment Opportunity Commission (EEOC);equal-employment-opportunity-commission-eeoc;;;;;;;;~$450 million;1965;;;RANGE_1001_5000;;;;;Regulates interstate electricity, natural gas, LNG, and hydropower;;;Employment discrimination;;;;;;AGE-000016;15 District Offices, Field Offices, Area Offices;GOVERNMENT;;;;;;;;
Consumer Product Safety Commission (CPSC);consumer-product-safety-commission-cpsc;;;;;;;;~$180 million;1972;;;RANGE_201_1000;;;;;Enforces federal workplace anti-discrimination laws;;;Consumer product safety;;;;;;AGE-000017;Office of Compliance, Office of Hazard Identification, National Product Testing Center;GOVERNMENT;;;;;;;;
Commodity Futures Trading Commission (CFTC);commodity-futures-trading-commission-cftc;;;;;;;;~$400 million;1974;;;RANGE_201_1000;;;;;Protects consumers from hazardous products;;;Commodity futures and derivatives markets;;;;;;AGE-000018;Divisions of Market Oversight, Enforcement, Clearing and Risk, regional offices;GOVERNMENT;;;;;;;;
Federal Election Commission (FEC);federal-election-commission-fec;;;;;;;;~$95 million;1975;;;RANGE_201_1000;;;;;Regulates derivatives, futures, and swaps markets;;;Federal elections and campaign finance;;;;;;AGE-000019;Office of General Counsel, Reports Analysis Division, Audit Division;GOVERNMENT;;;;;;;;
United States International Trade Commission (USITC);united-states-international-trade-commission-usitc;;;;;;;;~$130 million;1916 (as the U.S. Tariff Commission);;;RANGE_201_1000;;;;;Administers and enforces federal campaign finance laws;;;International trade and import investigations;;;;;;AGE-000020;Office of Investigations, Office of Economics, Office of Unfair Import Investigations;GOVERNMENT;;;;;;;;
Department of Defense (DoD);department-of-defense-dod;;;;;;;;;1947;;;RANGE_5000_PLUS;;;;;Conducts trade investigations and advises on international trade policy;;;Worldwide;;;;;"National defense;military operations;cybersecurity;research;procurement";GOV-000001;Army, Navy, Air Force, Marine Corps, Space Force, Joint Staff, Defense Agencies;GOVERNMENT;;;;;;;;
Department of Veterans Affairs (VA);department-of-veterans-affairs-va;;;;;;;;;1930 (Cabinet status 1989);;;RANGE_5000_PLUS;;;;;Oversees U.S. military and national defense;;;United States;;;;;"Veteran healthcare;disability compensation;pensions;education benefits";GOV-000002;Veterans Health Administration (VHA), Veterans Benefits Administration (VBA), National Cemetery Administration (NCA);GOVERNMENT;;;;;;;;
Department of Homeland Security (DHS);department-of-homeland-security-dhs;;;;;;;;;2002;;;RANGE_5000_PLUS;;;;;Provides healthcare and benefits to veterans;;;United States;;;;;"Border security;immigration;cybersecurity;emergency management;transportation security";GOV-000003;FEMA, TSA, CBP, ICE, USCIS, Secret Service, Coast Guard, CISA (Wikipedia);GOVERNMENT;;;;;;;;
Department of Justice (DOJ);department-of-justice-doj;;;;;;;;;1870;;;RANGE_5000_PLUS;;;;;Protects the U.S. from terrorism and manages border security;;;United States;;;;;"Criminal prosecution;civil litigation;law enforcement;civil rights";GOV-000004;FBI, DEA, ATF, U.S. Marshals Service, Bureau of Prisons, U.S. Attorneys (Wikipedia);GOVERNMENT;;;;;;;;
Department of the Treasury;department-of-the-treasury;;;;;;;;;1789;;;RANGE_5000_PLUS;;;;;Enforces federal law and administers justice;;;United States;;;;;"Tax collection;public debt;currency production;financial sanctions";GOV-000005;IRS, U.S. Mint, OCC, FinCEN, Bureau of Fiscal Service (Wikipedia);GOVERNMENT;;;;;;;;
Department of Health and Human Services (HHS);department-of-health-and-human-services-hhs;;;;;;;;;1953;;;RANGE_5000_PLUS;;;;;Manages federal finances and tax collection;;;United States;;;;;"Medicare;Medicaid;disease control;biomedical research;public health";GOV-000006;CDC, NIH, FDA, CMS, ACF, HRSA;GOVERNMENT;;;;;;;;
Department of Agriculture (USDA);department-of-agriculture-usda;;;;;;;;;1862;;;RANGE_5000_PLUS;;;;;Protects public health and administers health programs;;;United States;;;;;"Food safety;nutrition assistance;farming support;forestry";GOV-000007;Forest Service, Food Safety & Inspection Service, Farm Service Agency, NRCS, APHIS (Wikipedia);GOVERNMENT;;;;;;;;
Department of the Interior (DOI);department-of-the-interior-doi;;;;;;;;;1849;;;RANGE_5000_PLUS;;;;;Supports agriculture and rural development;;;United States;;;;;"National parks;wildlife conservation;tribal affairs;resource management";GOV-000008;National Park Service, Bureau of Land Management, U.S. Geological Survey, Fish & Wildlife Service, Bureau of Indian Affairs (Wikipedia);GOVERNMENT;;;;;;;;
Department of Transportation (DOT);department-of-transportation-dot;;;;;;;;;1967;;;RANGE_5000_PLUS;;;;;Manages public lands and natural resources;;;United States;;;;;"Aviation;highways;rail;transit;maritime safety";GOV-000009;FAA, FHWA, FRA, FTA, NHTSA, Maritime Administration (Wikipedia);GOVERNMENT;;;;;;;;
Department of State;department-of-state;;;;;;;;;1789;;;RANGE_5000_PLUS;;;;;Oversees transportation systems and infrastructure;;;Worldwide;;;;;"Diplomacy;embassies;passports;visas;foreign assistance";GOV-000010;Foreign Service, U.S. Embassies & Consulates, Bureau of Consular Affairs, USAID coordination (where applicable) (Wikipedia);GOVERNMENT;;;;;;;;
Library of Congress (United States);library-of-congress-united-states;;;;;;;"Research services;copyright registration;digitization;preservation;exhibitions;cataloging";US$900M+;1800;;;RANGE_1001_5000;;;;Books, manuscripts, maps, photographs, newspapers, films, recordings, digital collections;Conducts foreign policy and diplomacy;;;;;;;;;LIB-000001;;LIBRARY;;;;;;;;
British Library (United Kingdom);british-library-united-kingdom;;;;;;;"Reading rooms;research support;legal deposit;digitization;business services";£170M+;1973 (collections date back centuries);;London;RANGE_1001_5000;;;;Books, manuscripts, newspapers, maps, patents, sound archives, digital collections;;;;;;;;;;LIB-000002;;LIBRARY;;;;;;;;
National Library of China;national-library-of-china;;;;;;;"National bibliography;preservation;research;digitization";Not publicly disclosed;1909;;Beijing;RANGE_1001_5000;;;;Chinese books, rare manuscripts, local gazetteers, digital resources, foreign publications;;;;;;;;;;LIB-000003;;LIBRARY;;;;;;;;
Russian State Library;russian-state-library;;;;;;;"Research;interlibrary loan;digital library;preservation";Not publicly disclosed;1862;;Moscow;RANGE_1001_5000;;;;Books, dissertations, maps, music, newspapers, manuscripts;;;;;;;;;;LIB-000004;;LIBRARY;;;;;;;;
National Diet Library (Japan);national-diet-library-japan;;;;;;;"Parliamentary research;legal deposit;digitization;public reference";¥20B+;1948;;;RANGE_201_1000;;;;Books, journals, official publications, maps, digital archives;;;;;;;;;;LIB-000005;;LIBRARY;;;;;;;;
Bibliothèque nationale de France (BnF);bibliotheque-nationale-de-france-bnf;;;;;;;"Research;preservation;legal deposit;exhibitions;digital library (Gallica)";€250M+;1461 (royal origins);;Paris;RANGE_1001_5000;;;;Books, manuscripts, prints, photographs, coins, maps, digital collections;;;;;;;;;;LIB-000006;;LIBRARY;;;;;;;;
Berlin State Library (Staatsbibliothek zu Berlin);berlin-state-library-staatsbibliothek-zu-berlin;;;;;;;"Research support;digitization;special collections";€100M+;1661;;;RANGE_201_1000;;;;Books, manuscripts, maps, music, newspapers, oriental collections;;;;;;;;;;LIB-000007;;LIBRARY;;;;;;;;
New York Public Library (NYPL);new-york-public-library-nypl;;;;;;;"Lending;research;literacy;education;digital access";US$400M+;1895;;New York City;RANGE_1001_5000;;;;Books, manuscripts, archives, photographs, digital collections;;;;;;;;;;LIB-000008;;LIBRARY;;;;;;;;
National Library of Russia;national-library-of-russia;;;;;;;"National bibliography;research;preservation;digitization";Not publicly disclosed;1795;;;RANGE_1001_5000;;;;Books, manuscripts, maps, journals, newspapers, rare books;;;;;;;;;;LIB-000009;;LIBRARY;;;;;;;;
National Library of Spain (Biblioteca Nacional de España);national-library-of-spain-biblioteca-nacional-de-espana;;;;;;;"Legal deposit;research;preservation;digitization;exhibitions";€60M+;1712;;;RANGE_201_1000;;;;Books, manuscripts, maps, prints, music, audiovisual materials;;;;;;;;;;LIB-000010;;LIBRARY;;;;;;;;
Social Security Administration (SSA);social-security-administration-ssa;;;;;;;"Retirement benefits;disability insurance;Medicare enrollment;Social Security numbers";US$1.5T+ (benefit payments & operations);1935;;;RANGE_5000_PLUS;;;;;;;;;;;;;;SER-000001;Office of Retirement & Disability Policy, Office of Operations, Office of Hearings Operations;GOVERNMENT;;;;;;;;
National Park Service (NPS);national-park-service-nps;;;;;;;"Park management;conservation;recreation;education";US$4B+;1916;;;RANGE_5000_PLUS;;;;;Operates the nation's largest integrated healthcare system;;;;;;;;;SER-000007;National Parks, National Monuments, Historic Sites, National Recreation Areas;GOVERNMENT;;;;;;;;
U.S. Postal Service (USPS);u-s-postal-service-usps;;;;;;;"Mail delivery;package shipping;retail postal services";US$80B+;1775 (independent establishment since 1971);;;RANGE_5000_PLUS;;;;;Regulates civil aviation and manages U.S. air traffic;;;;;;;;;SER-000009;Postal Districts, Processing & Distribution Centers, Retail Post Offices, Postal Inspection Service;GOVERNMENT;;;;;;;;
Small Business Administration (SBA);small-business-administration-sba;;;;;;;"Business financing;disaster loans;government contracting";"US$1–2B (operating; loan programs much larger)";1953;;;RANGE_1001_5000;;;;;Provides nationwide mail and package delivery;;;;;;;;;SER-000010;7(a) Loan Program, 504 Loan Program, Disaster Loan Program, SCORE, Small Business Development Centers (SBDCs);GOVERNMENT;;;;;;;;
Cybersecurity Directorate (CSD);cybersecurity-directorate-csd;;;;;;;;US$2B+;2018;;;RANGE_1001_5000;;;;;Supports small businesses through loans and counseling;;;;;;;;"Cyber defense;vulnerability management;incident response;Secure by Design initiatives";DIR-000001;Joint Cyber Defense Collaborative (JCDC), Vulnerability Management, Cyber Defense Operations, Stakeholder Engagement;GOVERNMENT;;;;;;;;
Science Directorate;science-directorate;;;;;;;;US$1B+;2003;;;RANGE_1001_5000;;;;;Leads national cybersecurity operations, risk management, and critical infrastructure protection;;;;;;;;"Homeland security R&D;testing;emerging technologies;first responder technologies";DIR-000002;Office of National Laboratories, Chemical Security Analysis Center, Counter-UAS Program;GOVERNMENT;;;;;;;;
Directorate for Technology, Innovation and Partnerships (TIP);directorate-for-technology-innovation-and-partnerships-tip;;;;;;;;US$1.5B+;2022;;Alexandria;RANGE_201_1000;;;;;Supports scientific research, technology development, and standards for homeland security;;;;;;;;"AI;quantum;biotechnology;regional innovation;technology translation";DIR-000003;Regional Innovation Engines, Convergence Accelerator, Innovation Corps (I-Corps);GOVERNMENT;;;;;;;;
Directorate for Geosciences (GEO);directorate-for-geosciences-geo;;;;;;;;US$1.5B+;1980;;Alexandria;RANGE_201_1000;;;;;Accelerates emerging technologies and commercialization;;;;;;;;"Climate science;oceanography;atmospheric science;polar research";DIR-000004;Division of Atmospheric & Geospace Sciences, Division of Earth Sciences, Division of Ocean Sciences;GOVERNMENT;;;;;;;;
Directorate for Biological Sciences (BIO);directorate-for-biological-sciences-bio;;;;;;;;US$1B+;1970s;;Alexandria;RANGE_201_1000;;;;;Funds research on Earth, oceans, atmosphere, and polar science;;;;;;;;"Genetics;ecology;molecular biology;neuroscience;biodiversity";DIR-000005;Division of Environmental Biology, Molecular & Cellular Biosciences, Integrative Organismal Systems;GOVERNMENT;;;;;;;;
Directorate for Engineering (ENG);directorate-for-engineering-eng;;;;;;;;US$1B+;1980;;Alexandria;RANGE_201_1000;;;;;Supports biological research across all life sciences;;;;;;;;"Advanced manufacturing;robotics;semiconductors;civil engineering";DIR-000006;"Chemical, Bioengineering, Environmental & Transport Systems; Electrical, Communications & Cyber Systems; Civil Engineering divisions";GOVERNMENT;;;;;;;;
Intelligence Directorate;intelligence-directorate;;;;;;;;Classified;2003;;;RANGE_201_1000;;;;;Oversees disaster response, recovery, and emergency operations;;;;;;;;"Intelligence analysis;information sharing;threat assessments";DIR-000008;Office of Intelligence Enterprise, Field Intelligence, Intelligence Watch Centers;GOVERNMENT;;;;;;;;
Directorate of Operations;directorate-of-operations;;;;;;;;Classified;1973 (current structure);;;CLASSIFIED;;;;;Integrates intelligence to support homeland security operations;;;;;;;;"Human intelligence (HUMINT);covert operations;foreign intelligence";DIR-000009;Mission Centers, Regional Divisions, Special Activities elements;GOVERNMENT;;;;;;;;
Directorate of Digital Innovation (DDI);directorate-of-digital-innovation-ddi;;;;;;;;Classified;2015;;;CLASSIFIED;;;;;Conducts clandestine intelligence collection and human intelligence operations;;;;;;;;"Digital intelligence;AI;software engineering;cyber operations;enterprise IT";DIR-000010;Open Source Enterprise, Digital Services, Data Engineering, Enterprise IT Offices;GOVERNMENT;;;;;;;;
International Federation of Red Cross and Red Crescent Societies (IFRC);international-federation-of-red-cross-and-red-crescent-societies-ifrc;;;World's largest humanitarian network;;;;;Member contributions, governments, foundations, donations;1919;;Geneva;RANGE_201_1000;;;;;Leads digital transformation, cloud computing, AI, and cyber capabilities;;;;;;"United Nations;WHO;NGOs;governments";;"Disaster response;health;climate resilience;humanitarian aid";CLU-000001;191 National Societies;ASSOCIATION;Humanitarian membership federation;;;;;;;
Institute of Electrical and Electronics Engineers (IEEE);institute-of-electrical-and-electronics-engineers-ieee;;;"Largest engineering association; develops major technology standards";;;;;Membership dues, publications, conferences, standards;1884;;;RANGE_1001_5000;;;;;;;;;;;"Universities;industry;governments";;"Technical standards;conferences;publications;education";CLU-000002;340+ Sections, 2,000+ Chapters;ASSOCIATION;Professional association;;;;;;;
Rotary International;rotary-international;;;Global polio eradication efforts and community service;;;;;Membership dues, Rotary Foundation, donations;1905;;Evanston;RANGE_201_1000;;;;;;;;;;;"WHO;UNICEF;Gates Foundation";;"Community service;education;health;peace initiatives";CLU-000003;46,000+ Clubs;ASSOCIATION;Service organization;;;;;;;
World Organization of the Scout Movement (WOSM);world-organization-of-the-scout-movement-wosm;;;Largest global scouting movement;;;;;Membership fees, grants, donations;1922;;;RANGE_201_1000;;;;;;;;;;;"UNESCO;UNICEF;governments";;"Youth leadership;outdoor education;citizenship";CLU-000004;176 National Scout Organizations;ASSOCIATION;Youth organization;;;;;;;
International Air Transport Association (IATA);international-air-transport-association-iata;;;Global airline standards and coordination;;;;;Membership fees, commercial services, training;1945;;Montreal;RANGE_1001_5000;;;;;;;;;;;"ICAO;airports;airlines";;"Aviation standards;safety;training;settlement systems";CLU-000005;300+ Member Airlines;ASSOCIATION;Trade association;;;;;;;
World Medical Association (WMA);world-medical-association-wma;;;Declaration of Helsinki and global medical ethics;;;;;Membership fees, grants;1947;;;RANGE_11_50;;;;;;;;;;;"WHO;national medical associations";;"Medical ethics;policy;advocacy";CLU-000006;115+ National Medical Associations;ASSOCIATION;Professional association;;;;;;;
