name;serial_number;country_id;is_capital;state_province;population;number_of_multinational_hqs;number_of_airports;largest_organization;currency;median_salary;median_home_price;average_rent;cost_of_living;temperatures;climate;interesting_fact;degree_holders;number_of_universities;top_universities;number_of_nationalities;language;people_description;latitude;longitude;metadata;main_industries
Aguadulce;CIT-000017;PA;FALSE;;55,000 (Foreign Born: 3,000);Few;1;Local cooperatives, agro-export firms;USD;7500;60000;300;LOW;24°C to 31°C;Tropical, rainy season and dry season;Aguadulce is known for its agriculture, particularly its banana and sugarcane production;18% (Bachelor), 4% (Master), 1% (PhD);1;Universidad Latina de Panamá (Aguadulce campus);15+;"SPANISH;ENGLISH";Peaceful, rural, and oriented around agriculture and family life;;;;
Aguascalientes;CIT-000018;MX;FALSE;;1.1 million (Foreign Born: 20,000);30;1;Nissan, Jatco, Texas Instruments, local tech hubs;USD;10000;80000;400;LOW_MEDIUM;11°C to 29°C;Arid, hot summers, mild winters;Aguascalientes is known for its hot springs, historical significance, and annual Feria de San Marcos festival;30% (Bachelor), 7% (Master), 2% (PhD);5;Autonomous University of Aguascalientes, Technological Institute of Aguascalientes;20+;"SPANISH;ENGLISH";Proud, warm-hearted, and full of traditional festivals and culture;;;;
Ahmedabad;CIT-000019;IN;FALSE;;8.4 million (Foreign Born: 100,000);60+;1;Adani Group, Torrent Pharma, Zydus, Tata Consultancy Services;USD;6000;55000;250;LOW;13°C to 41°C;Hot semi-arid, dry and hot summers;Ahmedabad is a major hub for business and textile industries and is also known for its rich history and Gandhi Ashram;40% (Bachelor), 12% (Master), 5% (PhD);10;Indian Institute of Management Ahmedabad, Gujarat University;40+;"GUJARATI;HINDI;ENGLISH";Industrious, vibrant, and culturally rich with a strong entrepreneurial spirit;;;;
Ahvaz;CIT-000020;IR;FALSE;;1.2 million (Foreign Born: 10,000);Limited;1;National Iranian South Oil Company (NISOC), steel industry;USD;5000;45000;180;LOW;18°C to 45°C;Desert, extremely hot summers, mild winters;Ahvaz is one of the hottest cities in the world, with summer temperatures often reaching above 45°C;25% (Bachelor), 6% (Master), 2% (PhD);2;Shahid Chamran University of Ahvaz, Ahvaz University of Medical Sciences;10+;"PERSIAN;ARABIC;ENGLISH";Hardworking, resilient, and proud of their rich cultural heritage;;;;
Aïn Defla;CIT-000021;DZ;FALSE;;400,000 (Foreign Born: 5,000);Very Few;1;Local agribusinesses and government entities;USD;4800;40000;150;LOW;10°C to 28°C;Mediterranean, mild winters, hot summers;Aïn Defla is known for its beautiful olive groves and agriculture;15% (Bachelor), 3% (Master), 1% (PhD);1;University of Aïn Defla;5+;"ARABIC;BERBER;FRENCH";Quiet, traditional, and closely connected to their agricultural roots;;;;
Aix-en-Provence;CIT-000022;FR;FALSE;;145,000 (Foreign Born: 20,000);20;1;Aix-Marseille University, local tech startups;EUR;30000;420000;1200;MEDIUM_HIGH;5°C to 22°C;Mediterranean, mild winters, warm summers;Aix-en-Provence is famous for its beautiful architecture and its connection to the painter Paul Cézanne;55% (Bachelor), 20% (Master), 8% (PhD);3;Aix-Marseille University, KEDGE Business School;40+;"FRENCH;ENGLISH";Charming, artistic, and culturally sophisticated;;;;
Ajaccio;CIT-000023;FR;FALSE;;71,000 (Foreign Born: 8,000);Few;1;Corsican tourism groups, local public institutions;EUR;28000;310000;1000;MEDIUM;9°C to 20°C;Mediterranean, mild winters, warm summers;Ajaccio is the birthplace of Napoleon Bonaparte and a popular tourist destination;35% (Bachelor), 12% (Master), 4% (PhD);2;University of Corsica, Ecole de Commerce de Corse;30+;"FRENCH;ITALIAN;CORSICAN;ENGLISH";Proud, historical, and fiercely attached to their Corsican heritage;;;;
Ajax;CIT-000024;CA;FALSE;;130,000 (Foreign Born: 50,000);Some (GTA spillover);1;Amazon (logistics), local tech and manufacturing firms;CAD;65000;950000;2700;MEDIUM_HIGH;−5°C to 25°C;Temperate, cold winters, mild summers;Ajax is known for its natural parks and its proximity to Toronto, making it a popular suburban area;38% (Bachelor), 12% (Master), 5% (PhD);4;University of Ontario Institute of Technology (Ajax campus), Durham College;60+;"ENGLISH;PUNJABI;ITALIAN";Friendly, multicultural, and family-oriented;;;;
Ajloun;CIT-000025;JO;FALSE;;190,000 (Foreign Born: 5,000);Very few;1;Local agricultural cooperatives, small businesses;USD;5500;45000;180;LOW;7°C to 22°C;Mediterranean, mild winters, warm summers;Ajloun is known for its historic Ajloun Castle and natural beauty;15% (Bachelor), 4% (Master), 1% (PhD);1;Ajloun University;10+;"ARABIC;ENGLISH";Peaceful, historic, and connected to nature;;;;
Ajman;CIT-000026;AE;FALSE;;500,000 (Foreign Born: 400,000);Several (regional HQs);1;Ajman Free Zone companies, Gulf Medical University;USD;30000;150000;900;MEDIUM;18°C to 38°C;Desert, hot summers, mild winters;Ajman is the smallest emirate in the UAE and known for its beaches;45% (Bachelor), 25% (Master), 10% (PhD);3;Ajman University, Gulf Medical University;50+;"ARABIC;ENGLISH";Modern, growing, and focused on development;;;;
Akita;CIT-000027;JP;FALSE;;310,000 (Foreign Born: 5,000);Few;1;Akita University, Akita Bank, local energy & public sector;USD;32000;180000;600;MEDIUM;−5°C to 25°C;Humid continental, cold winters, mild summers;Akita is famous for its heavy snowfall, Akita Inu dogs, and the Kanto Matsuri festival;30% (Bachelor), 8% (Master), 3% (PhD);2;Akita University, Tohoku University (Akita campus);20+;"JAPANESE;ENGLISH";Calm, traditional, and deeply connected to their natural surroundings;;;;
Akron;CIT-000028;US;FALSE;;190,000 (Foreign Born: 10,000);Some;1;Goodyear, University of Akron, Summa Health;USD;52000;150000;1100;MEDIUM;−4°C to 29°C;Humid continental, cold winters, warm summers;"Akron is known as the ""Rubber Capital of the World"" due to its history in the tire industry";35% (Bachelor), 10% (Master), 5% (PhD);4;University of Akron, Kent State University (Akron campus);40+;"ENGLISH;SPANISH";Industrious, resilient, and community-oriented;;;;
Aksaray;CIT-000029;TR;FALSE;;430,000 (Foreign Born: 10,000);Few;1;Local manufacturing firms, logistics hubs;EUR;6500;50000;200;LOW;10°C to 30°C;Continental, hot summers, cold winters;Aksaray is a key stop along the historic Silk Road and is known for its Seljuk architecture;25% (Bachelor), 6% (Master), 2% (PhD);2;Aksaray University, Turkish Aeronautical Association University;15+;"TURKISH;KURDISH;ARABIC;ENGLISH";Historic, warm-hearted, and focused on agriculture and industry;;;;
Aksu;CIT-000030;KZ;FALSE;;230,000 (Foreign Born: 20,000);Few;1;Petrochemical plants, local mining firms;USD;7000;40000;180;LOW;−10°C to 35°C;Continental, hot summers, cold winters;Aksu is known for its proximity to the Ili River and its role in Kazakhstan’s agricultural economy;18% (Bachelor), 5% (Master), 2% (PhD);1;Aksu State University;5+;"KAZAKH;RUSSIAN";Hardworking, rural, and strongly tied to the land;;;;
Aktau;CIT-000031;KZ;FALSE;;190,000 (Foreign Born: 15,000);Few;1;KazMunayGas, Caspian Sea port operators;USD;8000;50000;200;LOW_MEDIUM;−5°C to 25°C;Arid, desert climate, hot summers, mild winters;Aktau is Kazakhstan’s major port on the Caspian Sea, known for its oil industry;25% (Bachelor), 6% (Master), 3% (PhD);2;Mangystau University, Aktau Technical Institute;10+;"KAZAKH;RUSSIAN;ENGLISH";Industrious, modern, and deeply connected to energy production;;;;
Akureyri;CIT-000032;IS;FALSE;;19,000 (Foreign Born: 3,000);Few;1;Local fish processing companies, University of Akureyri;EUR;40000;400000;1200;MEDIUM_HIGH;−5°C to 15°C;Subarctic, cold winters, mild summers;"Akureyri is often referred to as the ""Capital of North Iceland"" and is known for its vibrant arts scene";50% (Bachelor), 15% (Master), 5% (PhD);3;University of Akureyri, Akureyri University of Iceland;30+;"ICELANDIC;ENGLISH";Peaceful, creative, and deeply connected to nature;;;;
Al Ahmadi;CIT-000033;KW;FALSE;;700,000 (Foreign Born: 400,000);Several;1;Kuwait Oil Company, Petrochemical companies;USD;45000;300000;1500;HIGH;15°C to 45°C;Desert, extremely hot summers, mild winters;Al Ahmadi is home to Kuwait’s major oil industry facilities and the largest oil refinery in the country;35% (Bachelor), 12% (Master), 5% (PhD);2;Kuwait University, College of Technological Studies;20+;"ARABIC;ENGLISH";Modern, industrious, and centered around the oil economy;;;;
Al Ain;CIT-000034;AE;FALSE;;750,000 (Foreign Born: 500,000);Several;1;Tawam Hospital, Al Ain Zoo, UAE University;USD;35000;400000;1200;MEDIUM;18°C to 42°C;Desert, extremely hot summers, mild winters;"Al Ain is known as the ""Garden City"" due to its greenery and palm groves, and it’s the birthplace of Sheikh Zayed";50% (Bachelor), 25% (Master), 10% (PhD);5;United Arab Emirates University, Al Ain University of Science and Technology;80+;"ARABIC;ENGLISH";Traditional, peaceful, and focused on education and family;;;;
Al Amarat;CIT-000035;OM;FALSE;;150,000 (Foreign Born: 10,000);Few;1;Local construction firms, government services;USD;15000;90000;350;LOW_MEDIUM;15°C to 40°C;Desert, hot summers, mild winters;Al Amarat is located near the Al Hajar Mountains and is known for its natural springs;20% (Bachelor), 5% (Master), 2% (PhD);1;Dhofar University (Al Amarat campus);10+;"ARABIC;ENGLISH";Quiet, community-focused, and closely connected to nature;;;;
Al Baha;CIT-000036;SA;FALSE;;500,000 (Foreign Born: 50,000);Few;1;Local tourism groups, agriculture cooperatives;USD;10000;80000;300;MEDIUM;16°C to 35°C;Mountainous, mild winters, hot summers;Al Baha is known for its lush greenery, scenic valleys, and rich historical landmarks;18% (Bachelor), 4% (Master), 1% (PhD);2;Al Baha University, King Khalid University (Al Baha campus);15+;"ARABIC;ENGLISH";Calm, friendly, and proud of their natural beauty and heritage;;;;
Al Hoceima;CIT-000037;MA;FALSE;;140,000 (Foreign Born: 5,000);Few;1;Local fishing cooperatives, tourism-related businesses;USD;6000;60000;200;LOW;14°C to 27°C;Mediterranean, mild winters, warm summers;Al Hoceima is a coastal city known for its beautiful beaches and the Rif Mountains;25% (Bachelor), 8% (Master), 3% (PhD);2;Abdelmalek Essaâdi University, Al Hoceima University;15+;"ARABIC;BERBER;FRENCH;SPANISH";Relaxed, coastal, and deeply rooted in culture and nature;;;;
Al Jahra;CIT-000038;KW;FALSE;;460,000 (Foreign Born: 300,000);Few;1;Local agricultural firms, oil industry suppliers;USD;35000;280000;1100;MEDIUM_HIGH;15°C to 42°C;Desert, extremely hot summers, mild winters;Al Jahra is known for being one of the oldest cities in Kuwait and for its historical sites;18% (Bachelor), 4% (Master), 1% (PhD);1;Kuwait University (Al Jahra campus);10+;"ARABIC;ENGLISH";Traditional, community-focused, and closely connected to history;;;;
Al Khor;CIT-000039;QA;FALSE;;320,000 (Foreign Born: 270,000);Few;1;Qatar Petroleum, port operations;USD;40000;350000;1200;HIGH;20°C to 43°C;Desert, very hot summers, mild winters;Al Khor is a growing city in Qatar, famous for its fishing and pearl diving history;25% (Bachelor), 8% (Master), 3% (PhD);2;Qatar University, College of the North Atlantic Qatar;30+;"ARABIC;ENGLISH";Family-oriented, evolving, and focused on its cultural heritage;;;;
Al Qunfudhah;CIT-000040;SA;FALSE;;200,000 (Foreign Born: 20,000);Few;1;Local fisheries and agriculture firms;USD;15000;70000;300;MEDIUM;18°C to 40°C;Desert, very hot summers, mild winters;Al Qunfudhah is a coastal city known for its seafood industry and beaches;25% (Bachelor), 6% (Master), 2% (PhD);1;Al Qunfudhah University;15+;"ARABIC;ENGLISH";Coastal, laid-back, and focused on fishing and tourism;;;;
Al Rayyan;CIT-000041;QA;FALSE;;600,000 (Foreign Born: 550,000);Several;1;Qatar Foundation, Aspire Zone Foundation;USD;40000;480000;1400;HIGH;20°C to 43°C;Desert, very hot summers, mild winters;Al Rayyan is one of Qatar’s largest municipalities and is home to many sports and cultural events;45% (Bachelor), 20% (Master), 8% (PhD);4;Qatar University, College of the North Atlantic Qatar;50+;"ARABIC;ENGLISH";Modern, sports-oriented, and cosmopolitan;;;;
Al Sharqiyah;CIT-000042;OM;FALSE;;240,000 (Foreign Born: 12,000);Few;1;Local fisheries, agriculture firms;USD;13000;70000;280;MEDIUM;20°C to 40°C;Desert, very hot summers, mild winters;Al Sharqiyah is famous for its beaches and Wadi Shab, a popular natural attraction;30% (Bachelor), 10% (Master), 4% (PhD);2;Al Sharqiyah University, Sultan Qaboos University (Sharqiyah campus);20+;"ARABIC;ENGLISH";Coastal, scenic, and connected to both nature and modernity;;;;
Al Wajh;CIT-000043;SA;FALSE;;50,000 (Foreign Born: 5,000);Few;1;Local fisheries, tourism businesses;USD;14000;60000;250;LOW_MEDIUM;18°C to 38°C;Desert, extremely hot summers, mild winters;Al Wajh is a historical port city on the Red Sea, known for its beautiful beaches;20% (Bachelor), 5% (Master), 2% (PhD);1;Tabuk University (Al Wajh campus);10+;"ARABIC;ENGLISH";Coastal, laid-back, and deeply connected to the sea;;;;
Al Wakrah;CIT-000044;QA;FALSE;;80,000 (Foreign Born: 70,000);Few;1;Local construction firms, fishing industry;USD;35000;400000;1200;HIGH;20°C to 43°C;Desert, very hot summers, mild winters;Al Wakrah is a coastal city that has rapidly developed into a modern urban center;35% (Bachelor), 15% (Master), 7% (PhD);3;Qatar University, College of the North Atlantic Qatar;40+;"ARABIC;ENGLISH";Modern, rapidly growing, and focused on development and culture;;;;
Alafaya;CIT-000045;US;FALSE;;75,000 (Foreign Born: 15,000);Few;1;University of Central Florida, retail chains;USD;48000;350000;1300;MEDIUM;14°C to 32°C;Humid subtropical, hot summers, mild winters;Alafaya is a suburb of Orlando, known for its proximity to the University of Central Florida and theme parks;40% (Bachelor), 12% (Master), 5% (PhD);3;University of Central Florida, Valencia College;60+;"ENGLISH;SPANISH;PORTUGUESE";Suburban, student-focused, and vibrant with young energy;;;;
Alajuela;CIT-000046;CR;FALSE;;340,000 (Foreign Born: 20,000);Few;1;Dole Food Company, airport-related businesses;USD;12000;80000;350;LOW_MEDIUM;18°C to 30°C;Tropical, wet and dry seasons;Alajuela is known for its proximity to the Arenal Volcano and the international airport;30% (Bachelor), 8% (Master), 3% (PhD);2;National University of Costa Rica (Alajuela campus), AUPR Alajuela;20+;"SPANISH;ENGLISH";Warm, friendly, and deeply connected to both nature and culture;;;;
Alanya;CIT-000047;TR;FALSE;;330,000 (Foreign Born: 15,000);Few;1;Tourism operators, local agriculture businesses;EUR;8000;70000;300;LOW;13°C to 32°C;Mediterranean, mild winters, hot summers;Alanya is a popular tourist destination on the southern coast of Turkey, known for its beaches and historical sites;35% (Bachelor), 10% (Master), 4% (PhD);3;Alanya Alaaddin Keykubat University, Alanya University;20+;"TURKISH;ENGLISH;GERMAN";Vibrant, tourist-oriented, and relaxed with a rich cultural history;;;;
Albacete;CIT-000048;ES;FALSE;;170,000 (Foreign Born: 20,000);Few;1;Local manufacturing firms, agricultural cooperatives;EUR;25000;180000;700;MEDIUM;5°C to 27°C;Continental, hot summers, mild winters;Albacete is known for its annual fair and its rich history in knife-making;30% (Bachelor), 7% (Master), 3% (PhD);3;University of Castilla-La Mancha, Albacete Campus;20+;"SPANISH;ENGLISH";Friendly, traditional, and deeply connected to its history and crafts;;;;
Albany;CIT-000049;US;FALSE;;75,000 (Foreign Born: 5,000);Few;1;Phoebe Putney Health System, local manufacturing;USD;42000;150000;850;LOW_MEDIUM;7°C to 30°C;Humid subtropical, hot summers, mild winters;Albany is known for its agricultural production, especially peanuts;25% (Bachelor), 6% (Master), 2% (PhD);2;Albany State University, Darton State College;10+;"ENGLISH;SPANISH";Southern, community-focused, and proud of its agricultural roots;;;;
Albany;CIT-000050;US;FALSE;;97,000 (Foreign Born: 15,000);Few;1;State government, University at Albany, Albany Medical Center;USD;55000;280000;1400;MEDIUM_HIGH;−5°C to 22°C;Humid continental, cold winters, warm summers;Albany is the capital of New York State, known for its history and architecture;40% (Bachelor), 15% (Master), 6% (PhD);5;University at Albany, Rensselaer Polytechnic Institute;30+;"ENGLISH;SPANISH;ITALIAN";Political, historical, and intellectual with a focus on education;;;;
Albany;CIT-000051;US;FALSE;;56,000 (Foreign Born: 5,000);Few;1;Linn-Benton Community College, local manufacturing;USD;48000;320000;1000;MEDIUM;3°C to 30°C;Temperate, cool winters, warm summers;Albany is known for its historical buildings and is located at the confluence of the Willamette and Calapooia Rivers;30% (Bachelor), 8% (Master), 3% (PhD);2;Oregon State University (Albany campus), Linn-Benton Community College;10+;"ENGLISH;SPANISH;GERMAN";Family-oriented, laid-back, and closely connected to nature and history;;;;
Albufeira;CIT-000052;PT;FALSE;;40,000 (Foreign Born: 6,000);Few;1;Tourism operators, hotels;EUR;22000;250000;1000;MEDIUM;11°C to 30°C;Mediterranean, mild winters, hot summers;Albufeira is known for its stunning beaches and vibrant nightlife, making it a popular tourist destination;35% (Bachelor), 8% (Master), 3% (PhD);3;University of Algarve, Instituto Politécnico de Portalegre;20+;"PORTUGUESE;ENGLISH;GERMAN;FRENCH";Fun-loving, beach-oriented, and lively with a strong tourism focus;;;;
Albuquerque;CIT-000053;US;FALSE;;560,000 (Foreign Born: 70,000);Several;1;Sandia National Labs, University of New Mexico;USD;52000;350000;1200;MEDIUM;−3°C to 32°C;Semi-arid, cold winters, hot summers;Albuquerque is famous for its annual Balloon Fiesta and its unique Southwestern culture;40% (Bachelor), 12% (Master), 5% (PhD);5;University of New Mexico, New Mexico State University;40+;"ENGLISH;SPANISH;NAVAJO";Cultural, artsy, and full of history with a strong Native American influence;;;;
Albury;CIT-000054;AU;FALSE;;50,000 (Foreign Born: 8,000);Few;1;Logistics firms, local manufacturing;AUD;70000;650000;1800;MEDIUM;6°C to 30°C;Temperate, cool winters, warm summers;Albury is located on the border of New South Wales and Victoria and is known for its beautiful parks and the Murray River;32% (Bachelor), 10% (Master), 4% (PhD);2;Charles Sturt University, University of Melbourne (Albury campus);10+;"ENGLISH;ITALIAN;GREEK";Relaxed, nature-loving, and close-knit with a focus on outdoor life;;;;
Ålesund;CIT-000055;NO;FALSE;;47,000 (Foreign Born: 4,000);Few;1;Maritime companies, local fisheries;EUR;58000;420000;1300;HIGH;−2°C to 18°C;Oceanic, cold winters, mild summers;Ålesund is renowned for its Art Nouveau architecture and its proximity to some of Norway's most scenic fjords;50% (Bachelor), 20% (Master), 8% (PhD);2;Norwegian University of Science and Technology (Ålesund campus), Ålesund University College;20+;"NORWEGIAN;ENGLISH";Scenic, historic, and maritime-oriented with a strong focus on sustainability;;;;
Alexandria;CIT-000056;EG;FALSE;Alexandria;5.2 million (Foreign Born: 300,000);Few;2;Sidi Kerir Petrochemicals, Alexandria Port Authority;USD;6500;35000;180;LOW;11°C to 30°C;Mediterranean, mild winters, hot summers;Alexandria is a historic city known for the ancient Library of Alexandria and its cultural significance;30% (Bachelor), 8% (Master), 3% (PhD);4;Alexandria University, Pharos University of Alexandria;50+;"ARABIC;ENGLISH;FRENCH";Historical, vibrant, and deeply tied to Egypt's rich cultural heritage;;;;
Alexandria;CIT-000057;RO;FALSE;Teleorman;300,000 (Foreign Born: 8,000);Few;1;Local manufacturing firms, agricultural businesses;EUR;9000;30000;150;LOW;−4°C to 30°C;Continental, cold winters, warm summers;Alexandria is an important city in southern Romania, known for its historical significance and the surrounding fertile lands;20% (Bachelor), 5% (Master), 2% (PhD);1;Alexandria University (Romania);5+;"ROMANIAN;ENGLISH;SERBIAN";Quiet, agricultural, and connected to the history and culture of southern Romania;;;;
Alexandria;CIT-000058;US;FALSE;Virginia;160,000 (Foreign Born: 45,000);Several;1;U.S. government contractors, defense firms;USD;80000;600000;2200;HIGH;1°C to 30°C;Humid subtropical, cold winters, warm summers;Alexandria is a historic city near Washington, D.C., known for its charming Old Town district;50% (Bachelor), 15% (Master), 6% (PhD);5;George Washington University, Northern Virginia Community College;50+;"ENGLISH;SPANISH;ARABIC";Historical, urban, and focused on politics and culture;;;;
