name;serial_number;level;area;duration_years;description;score;metadata
Master in Physics with Planetary and Space Physics;DEG-000013;MASTER;Space Physics;2;Focuses on planetary systems and space environments. Develops analytical skills. Studies solar and planetary physics. Emphasises space science. Prepares for research careers.;;
Master in Planning and Management of Tourism Systems;DEG-000014;MASTER;Tourism Management;2;Focuses on tourism system design and management. Develops planning and business skills. Studies tourism flows. Emphasises sustainability. Prepares for tourism industry roles.;;
Master in Plasma Physics, Spectroscopy and Self-Organization;DEG-000015;MASTER;Applied Physics;2;Focuses on plasma diagnostics and systems behaviour. Develops analytical skills. Studies light-matter interaction. Emphasises advanced research. Prepares for physics careers.;;
Master in Play Therapy;DEG-000016;MASTER;Psychotherapy;2;Focuses on therapeutic use of play for children. Develops counselling skills. Studies child psychology. Emphasises emotional development. Prepares for clinical therapy roles.;;
Master in Podiatric Surgery;DEG-000017;MASTER;Surgical Medicine;2;Focuses on surgical treatment of foot disorders. Develops clinical and surgical skills. Studies anatomy and pathology. Emphasises operative care. Prepares for surgical roles.;;
Master in Portuguese and Business;DEG-000018;MASTER;Business Communication;2;Focuses on Portuguese language in business contexts. Develops communication skills. Studies commerce and culture. Emphasises international trade. Prepares for business roles.;;
Master in Post-production with Sound Design;DEG-000019;MASTER;Media Production;2;Focuses on audio post-production for media. Develops technical and creative skills. Studies sound design. Emphasises film and media industries. Prepares for production roles.;;
Master in Power, Electronic and Telecommunication Engineering;DEG-000020;MASTER;Electrical Engineering;2;Focuses on integrated power and communication systems. Develops technical skills. Studies networks and electronics. Emphasises infrastructure. Prepares for engineering roles.;;
Master in Process Engineering;DEG-000021;MASTER;Chemical/Industrial Engineering;2;Focuses on industrial process design and optimisation. Develops engineering skills. Studies production systems. Emphasises efficiency and safety. Prepares for industry roles.;;
Master in Professional Archaeology and Comprehensive Heritage Management;DEG-000022;MASTER;Archaeology;2;Focuses on archaeological practice and heritage management. Develops field skills. Studies cultural preservation. Emphasises applied archaeology. Prepares for heritage roles.;;
Master in Professional Non-surgical Aesthetic Practice;DEG-000023;MASTER;Aesthetic Medicine;2;Focuses on cosmetic non-surgical treatments. Develops clinical and procedural skills. Studies skin aesthetics. Emphasises patient care. Prepares for aesthetic practice roles.;;
Master in Professional Studies in Education;DEG-000024;MASTER;Education;2;Focuses on advanced teaching and learning practice. Develops pedagogical skills. Studies education systems. Emphasises instructional improvement. Prepares for educator roles.;;
Master in Professional Translation Studies;DEG-000025;MASTER;Translation Studies;2;Focuses on advanced translation theory and practice. Develops language skills. Studies translation techniques. Emphasises accuracy and fluency. Prepares for translator roles.;;
Master in Prostate Cancer Care;DEG-000026;MASTER;Oncology;2;Focuses on diagnosis and treatment of prostate cancer. Develops clinical skills. Studies oncology care pathways. Emphasises patient management. Prepares for healthcare roles.;;
Master in Psychology Conversion;DEG-000027;MASTER;Conversion Psychology;2;Focuses on foundational psychology training. Develops core analytical skills. Studies psychological theory. Emphasises transition into field. Prepares for psychology careers.;;
Master in Psycho-oncology and Palliative Care;DEG-000028;MASTER;Health Psychology;2;Focuses on psychological support in cancer care. Develops clinical intervention skills. Studies patient wellbeing. Emphasises end-of-life care. Prepares for healthcare roles.;;
Master in Public Health, Public Health Nutrition and Epidemiology;DEG-000029;MASTER;Public Health Nutrition;2;Focuses on nutrition and disease prevention. Develops epidemiological skills. Studies diet and population health. Emphasises prevention strategies. Prepares for health roles.;;
Bachelor of Design in Visual Communication and BA in International Studies;DEG-000030;BACHELOR;Design / Communication;4;Combines visual communication with global studies. Covers branding and media. Develops creative skills. Prepares for design careers.;;
Bachelor of Teaching and BA in Mathematics;DEG-000031;BACHELOR;Education / Mathematics;4;Combines teaching with mathematics. Covers pedagogy and quantitative skills. Develops instructional ability. Prepares for teaching roles.;;
Bachelor of Health Science in Traditional Chinese Medicine and BA in International Studies;DEG-000032;BACHELOR;Health / Traditional Medicine;4;Combines Chinese medicine with global studies. Covers holistic health systems. Develops clinical knowledge. Prepares for healthcare roles.;;
Bachelor of Teaching and BA in Visual Arts;DEG-000033;BACHELOR;Education / Arts;4;Combines teaching with visual arts practice. Covers pedagogy and creativity. Develops instructional skills. Prepares for arts education roles.;;
Bachelor of Education and BA in International Studies;DEG-000034;BACHELOR;Education;4;Combines teaching qualifications with global studies. Covers pedagogy and culture. Develops instructional skills. Prepares for education roles.;;
Bachelor of Teaching and BA in Technology;DEG-000035;BACHELOR;Education / Technology;4;Combines teaching with technology studies. Covers digital tools and pedagogy. Develops instructional skills. Prepares for STEM education roles.;;
Bachelor of Journalism and Professional Writing and BA in Creative Writing and Literature;DEG-000036;BACHELOR;Journalism / Writing;4;Combines journalism with creative writing. Covers reporting, storytelling, and media. Develops communication skills. Prepares for media careers.;;
Bachelor of Commerce, BA in Psychology;DEG-000037;BACHELOR;Business / Psychology;4;Combines commerce with psychology studies. Covers business strategy and human behaviour. Develops analytical skills. Prepares for corporate roles.;;
Bachelor of Nursing and BA in International Studies;DEG-000038;BACHELOR;Nursing;4;Combines nursing practice with global studies. Covers healthcare systems and patient care. Develops clinical skills. Prepares for nursing careers.;;
Bachelor of Teaching and BA in Humanities;DEG-000039;BACHELOR;Education;4;Combines teaching qualification with humanities studies. Covers pedagogy and culture. Develops instructional skills. Prepares for education roles.;;
Bachelor of Design in Interior Architecture and BA in International Studies;DEG-000040;BACHELOR;Design / Architecture;4;Combines interior design with global studies. Covers spatial design and culture. Develops creative and technical skills. Prepares for design careers.;;
Bachelor of Design in Product Design and BA in International Studies;DEG-000041;BACHELOR;Design / Product;4;Combines product design with global studies. Covers innovation and user-centred design. Develops technical skills. Prepares for design industry roles.;;
Bachelor of Medical Science and BA in International Studies;DEG-000042;BACHELOR;Medical Science;4;Combines medical science with global studies. Covers biology, health systems, and policy. Develops scientific skills. Prepares for health sector roles.;;
Bachelor of Design in Animation and BA in International Studies;DEG-000043;BACHELOR;Design / International Studies;4;Combines animation with global cultural studies. Covers storytelling and media production. Develops creative skills. Prepares for animation and media roles.;;
Bachelor of Design in Photography and BA in International Studies;DEG-000044;BACHELOR;Design / Photography;4;Combines photography with international studies. Covers visual storytelling and culture. Develops artistic skills. Prepares for media and photography roles.;;
Bachelor of Commerce and BA in Psychology and Economics;DEG-000045;BACHELOR;Business / Social Science;4;Integrates commerce, psychology, and economics. Covers markets, behaviour, and policy. Develops analytical skills. Prepares for finance and consulting roles.;;
Bachelor of Communication in Creative Writing and BA in International Studies;DEG-000046;BACHELOR;Communication / International Studies;4;Combines creative writing with global studies. Covers media, culture, and communication. Develops storytelling skills. Prepares for media and international roles.;;
Bachelor of Construction Project Management, BA in International Studies;DEG-000047;BACHELOR;Construction / International Studies;4;Combines construction management with global studies. Covers planning, infrastructure, and policy. Develops leadership skills. Prepares for project management roles.;;
Bachelor of Commerce and BA in Psychology;DEG-000048;BACHELOR;Business / Psychology;4;Combines business commerce with psychological science. Covers markets, behaviour, and analytics. Develops interdisciplinary skills. Prepares for business and HR roles.;;
Bachelor in Transfer Degree;DEG-000049;BACHELOR;General Studies;4;Provides foundational academic coursework for transfer. Develops core academic skills. Focuses on university progression pathways. Prepares students for advanced degrees.;;
Bachelor and MBA in Supply Chain Management;DEG-000050;BACHELOR;Business / Logistics;4;Integrated program covering supply chain and advanced business management. Covers logistics, operations, and strategy. Develops leadership skills. Prepares for senior management roles.;;
Bachelor of Law with English Language Studies;DEG-000051;BACHELOR;English Studies;4;Combines law with advanced study of English linguistics and usage. Builds strong written and verbal reasoning. Prepares for careers in law, media, publishing, or public administration.;;
Bachelor of Law with English;DEG-000052;BACHELOR;English;4;Combines law with English language and literature studies. Strengthens critical thinking, analysis, and communication. Prepares for careers in law, publishing, education, or media industries.;;
Bachelor of Law with Classical Studies;DEG-000053;BACHELOR;Classical Studies;4;Integrates law with ancient Greek and Roman civilizations. Develops analytical and historical interpretation skills. Prepares for careers in law, academia, heritage, or cultural policy sectors.;;
Bachelor of Law with Criminology;DEG-000054;BACHELOR;Criminology;4;Combines law with the study of crime, justice, and society. Develops understanding of criminal behavior and legal responses. Leads to careers in policing, legal practice, or criminal justice policy.;;
Bachelor of Forestry Transfer;DEG-000055;BACHELOR;Forestry (Transfer Program);4;Provides foundational forestry education for academic transfer pathways. Develops basic ecological and scientific skills. Prepares students for advanced forestry studies. Strengthens academic readiness. Supports progression into specialized forestry degrees.;;
Bachelor of Language and Literature Education;DEG-000056;BACHELOR;Education & Language;4;Focuses on teaching languages and literature. Builds pedagogy and communication skills. Graduates work as language teachers.;;
Bachelor of Mathematics with Education;DEG-000057;BACHELOR;Mathematics Education;4;Focuses on mathematics teaching and learning methods. Builds pedagogical skills. Graduates work in schools or education roles.;;
Bachelor of Italian and Persian;DEG-000058;BACHELOR;Language Studies;4;Combines Italian and Persian languages. Builds intercultural communication skills. Graduates work in translation and diplomacy.;;
Bachelor of Medical Studies and Doctor of Medicine;DEG-000059;BACHELOR;Medical Pathway;4;Integrated medical training program. Builds clinical and scientific expertise. Graduates become licensed medical practitioners.;;
Bachelor of History Teaching;DEG-000060;BACHELOR;Education;4;Studies methods of teaching history. Develops pedagogical skills. Focuses on classroom instruction. Graduates work as educators.;;
PhD in Fluids Engineering;DEG-000061;PHD;Mechanical Engineering;3;Studies fluid flow and engineering system design. Develops expertise in computational modeling and experimental research. Focuses on industrial and energy applications. Graduates work in research, aerospace, and engineering firms.;;
PhD in Food and Biochemical Technology;DEG-000062;PHD;Food Science;3;Combines food science with biochemical technologies. Develops expertise in food processing and biochemical research. Focuses on improving food quality and innovation. Graduates work in academia, biotechnology, and food industries.;;
PhD in Food Systems;DEG-000063;PHD;Food Systems;3;Explores food production, distribution, and consumption systems. Develops interdisciplinary research and policy skills. Focuses on sustainability and resilience. Graduates work in academia, government, and nonprofit organizations.;;
PhD in Gender Studies;DEG-000064;PHD;Gender Studies;3;Explores gender through social, political, and cultural research. Develops critical thinking and interdisciplinary research skills. Focuses on identity and equality. Graduates work in academia, policy, and community organizations.;;
PhD in Geodesy and Geoinformatics;DEG-000065;PHD;Geospatial Science;3;Combines geodesy with digital geographic information systems. Develops expertise in spatial analysis and geospatial technologies. Focuses on Earth measurement and mapping. Graduates work in academia, surveying, and GIS industries.;;
PhD in Geography and Earth Science;DEG-000066;PHD;Earth Science;3;Combines geography with Earth science research. Develops expertise in environmental systems and geospatial analysis. Focuses on understanding Earth's processes. Graduates work in academia, environmental consulting, and government.;;
PhD in Geometry and Topology;DEG-000067;PHD;Mathematics;3;Studies the properties and structures of geometric spaces. Develops expertise in abstract mathematics and theoretical research. Focuses on advanced mathematical concepts. Graduates work in academia, research, and higher education.;;
PhD in Geospatial Analytics;DEG-000068;PHD;Data Science;3;Studies advanced analysis of geographic and spatial data. Develops expertise in GIS, machine learning, and predictive modeling. Focuses on spatial decision-making. Graduates work in academia, government, and technology industries.;;
PhD in Grain Science;DEG-000069;PHD;Agricultural Science;3;Studies grain production, processing, and quality. Develops expertise in cereal chemistry and agricultural research. Focuses on food quality and sustainable production. Graduates work in academia, agriculture, and food industries.;;
PhD in Health Economics and Policy;DEG-000070;PHD;Health Economics;3;Integrates economic analysis with healthcare policy research. Develops expertise in health financing and policy evaluation. Focuses on improving health systems. Graduates work in academia, government, and healthcare organizations.;;
PhD in Hispanic Studies and Comparative Literature;DEG-000071;PHD;Literature;3;Combines Hispanic studies with comparative literary research. Develops expertise in literary analysis and cross-cultural interpretation. Focuses on global literary traditions. Graduates work in academia, publishing, and education.;;
PhD in History of Art and Archaeology;DEG-000072;PHD;Art History;3;Combines art history with archaeological research. Develops expertise in material culture and historical interpretation. Focuses on ancient and historical artifacts. Graduates work in academia, museums, and heritage organizations.;;
PhD in Laser, Photonics and Vision;DEG-000073;PHD;Physics;3;Studies laser systems, photonics, and optical vision technologies. Develops expertise in optics, imaging, and applied physics. Focuses on light-based technologies. Graduates work in academia, research labs, and optical industries.;;
PhD in Latin American Cultural Studies;DEG-000074;PHD;Cultural Studies;3;Explores cultural production, identity, and history in Latin America. Develops expertise in literary and cultural theory. Focuses on regional cultural expression. Graduates work in academia, publishing, and cultural organizations.;;
PhD in Leadership and Policy Studies in Education;DEG-000075;PHD;Education;3;Examines leadership and policy in educational systems. Develops expertise in administration, policy analysis, and school leadership. Focuses on educational improvement. Graduates work in academia, schools, and government agencies.;;
PhD in Management Finance;DEG-000076;PHD;Finance;3;Integrates financial management with organizational strategy. Develops expertise in corporate finance, investment, and risk management. Focuses on financial decision-making. Graduates work in finance, corporations, and consulting.;;
PhD in Marine Engine Engineering;DEG-000077;PHD;Marine Engineering;3;Focuses on design and maintenance of marine propulsion systems. Develops expertise in mechanical and marine systems engineering. Focuses on ship engine performance. Graduates work in shipping, engineering, and maritime industries.;;
PhD in Marketing and Entrepreneurship;DEG-000078;PHD;Entrepreneurship;3;Studies marketing strategies for new ventures and startups. Develops expertise in innovation, branding, and business development. Focuses on entrepreneurial growth. Graduates work in startups, consulting, and business development.;;
PhD in Phonetics and Phonology;DEG-000079;PHD;Linguistics;3;Combines speech sound analysis with language sound systems. Develops expertise in linguistic theory and speech research. Focuses on sound structure and communication. Graduates work in academia, linguistics, and speech technology.;;
Associate of Applied Science in Nursing and Allied Health;DEG-000080;ASSOCIATE;Nursing and Allied Health;2;Studies basic nursing and healthcare support. Develops clinical and patient care skills. Focuses on healthcare services. Prepares graduates for healthcare support roles.;;
Associate of Applied Science in Medical Assistant;DEG-000081;ASSOCIATE;Medical Assistance;2;Studies clinical and administrative healthcare support. Develops patient care skills. Focuses on medical office practice. Prepares graduates for healthcare support roles.;;
Associate of Science in Radiography;DEG-000082;ASSOCIATE;Radiography;2;Studies medical imaging and radiographic techniques. Develops imaging, patient care, and technical skills. Focuses on diagnostic imaging procedures. Graduates work in hospitals and medical imaging departments.;;
Associate of Arts in Marketing;DEG-000083;ASSOCIATE;Marketing;2;Studies marketing strategies and consumer behavior. Develops communication, analytical, and promotional skills. Focuses on branding, advertising, and market research. Graduates work in marketing, sales, and retail.;;
Associate of Applied Science in Dental Hygiene;DEG-000084;ASSOCIATE;Dental Hygiene;2;Studies preventive dental care and oral health. Develops clinical, patient care, and communication skills. Focuses on dental hygiene procedures and education. Graduates work in dental clinics and healthcare facilities.;;
Associate of Applied Science in Radiography;DEG-000085;ASSOCIATE;Radiography;2;Studies diagnostic imaging and radiographic procedures. Develops imaging, patient care, and technical skills. Focuses on producing medical images for diagnosis. Graduates work in hospitals and diagnostic imaging centers.;;
Associate of Applied Science in Diagnostic Medical Sonography;DEG-000086;ASSOCIATE;Diagnostic Medical Sonography;2;Studies ultrasound imaging and patient care. Develops diagnostic imaging, technical, and clinical skills. Focuses on safe and accurate medical sonography. Prepares graduates for careers as diagnostic medical sonographers.;;
Associate of Science in Music Production;DEG-000087;ASSOCIATE;Music Production;2;Studies audio recording, music technology, and production. Develops recording, editing, and sound design skills. Focuses on creating professional music productions. Graduates work in recording studios and media production.;;
Associate of Applied Science;DEG-000088;ASSOCIATE;Applied Science;2;Studies practical scientific and technical applications. Develops laboratory, technical, and problem-solving skills. Focuses on career-ready scientific knowledge. Graduates work in technical, healthcare, and industrial roles.;;
Associate of Science in Nursing;DEG-000089;ASSOCIATE;Nursing;2;Studies nursing science and patient-centered care. Develops clinical, communication, and healthcare skills. Focuses on safe nursing practice and health promotion. Graduates work in hospitals, clinics, and healthcare facilities.;;
Associate of Arts;DEG-000090;ASSOCIATE;Liberal Arts;2;Studies humanities, social sciences, and communication. Develops critical thinking, writing, and analytical skills. Focuses on broad academic preparation. Graduates continue higher education or enter diverse professional fields.;;
Associate of Arts Degree;DEG-000091;ASSOCIATE;Liberal Arts;2;Studies a broad range of humanities and social sciences. Develops communication, research, and critical thinking skills. Focuses on transferable academic knowledge. Graduates continue higher education or pursue entry-level careers.;;
Associate of Nursing;DEG-000092;ASSOCIATE;Nursing;2;Studies patient care and foundational nursing practice. Develops clinical, communication, and healthcare skills. Focuses on evidence-based nursing and patient safety. Graduates work in hospitals, clinics, and healthcare facilities.;;
Associate of Science in Business;DEG-000093;ASSOCIATE;Business;2;Studies core business principles and organizational practices. Develops communication, management, and analytical skills. Focuses on finance, marketing, and operations. Graduates work in business support, retail, and administration.;;
Associate of Science;DEG-000094;ASSOCIATE;Science;2;Studies foundational scientific concepts and methods. Develops laboratory, analytical, and problem-solving skills. Focuses on biology, chemistry, and scientific inquiry. Graduates continue science studies or work in technical fields.;;
Associate of Science in Business Administration;DEG-000095;ASSOCIATE;Business Administration;2;Studies business operations and management fundamentals. Develops organizational, communication, and leadership skills. Focuses on business strategy and workplace effectiveness. Graduates work in administration, sales, and operations.;;
Associate of Science in Biology and Ecology;DEG-000096;ASSOCIATE;Biology and Ecology;2;Studies biological systems and ecological processes. Develops laboratory, fieldwork, and analytical skills. Focuses on ecosystems, biodiversity, and environmental science. Graduates work in environmental organizations and laboratories.;;
Associate of Applied Science in Accounting;DEG-000097;ASSOCIATE;Accounting;2;Studies accounting principles and financial reporting. Develops bookkeeping, financial analysis, and accounting software skills. Focuses on business finance and compliance. Graduates work in accounting, bookkeeping, and finance support.;;
Associate of Applied Science in Hospitality Management;DEG-000098;ASSOCIATE;Hospitality Management;2;Studies hospitality operations and customer service management. Develops leadership, communication, and operational skills. Focuses on hotels, tourism, and guest satisfaction. Graduates work in hospitality, tourism, and hotel management.;;
Associate of Science in Computer Science;DEG-000099;ASSOCIATE;Computer Science;2;Studies computing principles and software development. Develops programming, analytical, and technical problem-solving skills. Focuses on algorithms, databases, and computer systems. Graduates work in IT support and software development.;;
Associate of Arts in Business Administration;DEG-000100;ASSOCIATE;Business Administration;2;Studies business operations and organizational management. Develops leadership, communication, and administrative skills. Focuses on finance, marketing, and business practices. Graduates work in administration, retail, and business support.;;
