name;serial_number;area;description;score;metadata
3D Art;MAJ-000080;Digital Arts;Focuses on creating three-dimensional digital artwork for entertainment and design industries. Covers modeling, sculpting, texturing, lighting, and rendering. Develops creativity and technical visualization skills. Prepares graduates for careers in animation, gaming, and digital media.;;
3D Arts;MAJ-000081;Fine Arts;Explores three-dimensional artistic creation using traditional and digital media. Covers sculpture, digital modeling, spatial design, and visual expression. Develops artistic creativity and technical production skills. Prepares graduates for careers in fine arts, digital arts, and creative industries.;;
3D CGI;MAJ-000082;Computer Graphics;Focuses on computer-generated imagery for animation, film, and interactive media. Covers 3D modeling, texturing, lighting, rendering, and visual effects. Develops technical and creative production skills. Prepares graduates for careers in CGI, entertainment, and digital visualization.;;
3D CGI Modelling;MAJ-000083;Computer Graphics;Specializes in creating detailed three-dimensional digital models for animation and visual media. Covers modeling techniques, texturing, topology, and production workflows. Develops precision, creativity, and technical design skills. Prepares graduates for careers in animation, gaming, and visual effects.;;
3D Character;MAJ-000084;Animation;Focuses on designing and producing three-dimensional digital characters. Covers character modeling, sculpting, rigging, anatomy, and texturing. Develops artistic, technical, and storytelling skills. Prepares graduates for careers in animation, gaming, and visual effects.;;
3D Computer Animation;MAJ-000085;Animation;Studies the production of computer-generated three-dimensional animation. Covers modeling, rigging, animation principles, lighting, and rendering. Develops technical proficiency and visual storytelling skills. Prepares graduates for careers in animation, film, television, and gaming.;;
3D Computer Games Design;MAJ-000086;Game Development;Focuses on designing and developing three-dimensional video games. Covers game mechanics, level design, 3D asset creation, programming, and user experience. Develops creative, technical, and collaborative skills. Prepares graduates for careers in the gaming and interactive media industries.;;
3D Design;MAJ-000087;Design;Focuses on the creation and visualization of three-dimensional objects and environments. Covers digital modeling, prototyping, rendering, and spatial design principles. Develops creativity, technical design, and problem-solving skills. Prepares graduates for careers in product design, digital media, and visualization.;;
3D Digital Visualization;MAJ-000088;Digital Visualization;Focuses on creating realistic three-dimensional digital models and visualizations. Covers 3D modeling, rendering, animation, and visualization software. Develops technical, creative, and presentation skills. Prepares graduates for careers in architecture, engineering, entertainment, and digital media.;;
3D Effects;MAJ-000089;Visual Effects;Studies the creation of three-dimensional visual effects for film, television, and games. Covers simulation, particle systems, compositing, rendering, and animation. Develops technical production and creative problem-solving skills. Prepares graduates for careers in visual effects and digital content production.;;
3D Environments;MAJ-000090;Game Art;Focuses on designing and building three-dimensional virtual environments. Covers environment modeling, texturing, lighting, level design, and optimization. Develops artistic and technical production skills. Prepares graduates for careers in gaming, animation, virtual reality, and digital media.;;
3D Game Art;MAJ-000091;Game Art;Specializes in creating three-dimensional artwork for video games. Covers character modeling, environment design, texturing, lighting, and asset optimization. Develops creativity and technical production skills. Prepares graduates for careers in game development and interactive entertainment.;;
3D Games and Media;MAJ-000092;Digital Media;Focuses on developing three-dimensional content for games and digital media. Covers game design, animation, modeling, interactive media, and production workflows. Develops creative, technical, and collaborative skills. Prepares graduates for careers in gaming, multimedia, and entertainment industries.;;
3D Games Art;MAJ-000093;Game Art;Explores the artistic creation of three-dimensional assets for video games. Covers modeling, sculpting, texturing, environment design, and visual storytelling. Develops technical and creative design skills. Prepares graduates for careers in game art, animation, and interactive media.;;
3D Graphics;MAJ-000094;Computer Graphics;Studies the creation and rendering of three-dimensional computer graphics. Covers modeling, lighting, shading, rendering, and visualization techniques. Develops strong technical and visual communication skills. Prepares graduates for careers in animation, simulation, gaming, and digital design.;;
3D Interdisciplinary Studies;MAJ-000095;Interdisciplinary Studies;Combines three-dimensional design with disciplines such as art, technology, engineering, and media. Covers digital fabrication, modeling, visualization, and collaborative projects. Develops creative, technical, and cross-disciplinary problem-solving skills. Prepares graduates for diverse careers in design, innovation, and digital production.;;
3D Maker;MAJ-000096;Digital Fabrication;Focuses on designing and creating three-dimensional objects using modern fabrication technologies. Covers 3D modeling, additive manufacturing, prototyping, and maker technologies. Develops hands-on design and technical problem-solving skills. Prepares graduates for careers in product development, manufacturing, and innovation.;;
3D Making;MAJ-000097;Digital Fabrication;Explores the design and production of three-dimensional physical and digital objects. Covers modeling, prototyping, fabrication techniques, and creative design processes. Develops practical, technical, and innovative thinking skills. Prepares graduates for careers in product design, digital fabrication, and creative industries.;;
3D Manufacturing;MAJ-000098;Engineering & Advanced Manufacturing;Focuses on additive manufacturing technologies, digital production workflows, and rapid prototyping. Students learn material science, design optimization, and production processes. Develops skills in operating advanced manufacturing systems. Graduates improve product innovation and manufacturing efficiency.;;
3D Modeling;MAJ-000099;Digital Design & Computer Graphics;Covers the creation of three-dimensional digital objects for design and visualization. Students develop modeling, texturing, and rendering skills. Emphasizes industry-standard software and creative problem-solving. Graduates produce high-quality digital assets for diverse applications.;;
3D Modeling and Animation;MAJ-000100;Animation & Digital Media;Combines 3D asset creation with animation principles for digital storytelling. Students learn modeling, rigging, animation, and rendering techniques. Develops creative and technical production skills. Graduates create engaging visual content for entertainment, media, and design industries.;;
