name;serial_number;type;categories;description;icon_url;industry;difficulty;used_in;jobs;product_categories;common_fields_of_study;related_abilities;time_to_master;score;metadata
Algorithms for Chemical Data;SKI-000021;Technical Skill;Data Science, Chemistry, Machine Learning;;;Pharmaceuticals, Biotech, Chemistry;;Pharmaceuticals, Biotechnology, Chemical Engineering;Data Scientist, Chemoinformatics Specialist, Research Scientist;Chemical Data Models, Drug Discovery Tools;Chemistry, Computer Science, Biostatistics;Chemoinformatics, Pattern Recognition, Statistical Analysis;1-2 years (intermediate to advanced expertise);;
Altera/Intel FPGA;SKI-000022;Technical Skill;Electronics, Hardware Engineering, Programming;;;Technology, Telecommunications, Electronics;;Telecommunications, Consumer Electronics, Computing;FPGA Engineer, Hardware Engineer, Embedded Systems Developer;Embedded Systems, Hardware Acceleration;Electrical Engineering, Computer Engineering, Physics;FPGA Programming, Hardware Design, Circuit Design;1-2 years (intermediate expertise);;
AML;SKI-000023;Regulatory & Analytical Skill;Finance, Compliance, Risk Management;;;Finance, Banking, Regulatory Compliance;;Banking, Finance, Compliance, Security;Compliance Officer, Risk Analyst, AML Specialist;Anti-Money Laundering Systems, Risk Management;Finance, Law, Risk Management;Regulatory Knowledge, Risk Assessment, Investigation Techniques;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Amplifiers;SKI-000024;Technical Skill;Electronics, Signal Processing;;;Electronics, Telecommunications, Audio;;Audio Systems, Telecommunications, Consumer Electronics;Electronics Engineer, Audio Engineer, Signal Processing Engineer;Audio Amplifiers, Communication Systems;Electrical Engineering, Audio Engineering;Signal Amplification, Circuit Design, Frequency Response;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Analog and Digital Design;SKI-000025;Technical Skill;Electronics, Circuit Design, Engineering;;;Electronics, Automotive, Telecommunications;;Consumer Electronics, Automotive, Telecommunications;Circuit Designer, Electronics Engineer, Embedded Systems Engineer;Consumer Electronics, Communication Devices;Electrical Engineering, Physics, Computer Engineering;Circuit Design, Signal Processing, Mixed-Signal Systems;1-2 years (intermediate expertise);;
Analog Circuit Design;SKI-000026;Technical Skill;Electronics, Circuit Design;;;Electronics, Automotive, Telecommunications;;Consumer Electronics, Telecommunications, Automotive;Circuit Designer, Electronics Engineer, Embedded Systems Engineer;Audio Devices, Communication Systems, Consumer Electronics;Electrical Engineering, Physics, Computer Engineering;Circuit Design, Signal Integrity, Frequency Response;1-2 years (intermediate to advanced expertise);;
Analog-to-Digital Conversion;SKI-000027;Technical Skill;Electronics, Signal Processing, Data Acquisition;;;Electronics, Telecommunications, Audio;;Audio Systems, Communication Systems, Consumer Electronics;Electronics Engineer, Signal Processing Engineer, Embedded Systems Developer;ADCs, Communication Systems, Consumer Electronics;Electrical Engineering, Physics, Computer Engineering;Analog-to-Digital Conversion, Signal Processing, Data Acquisition;1-2 years (intermediate expertise);;
Antenna Design;SKI-000028;Technical Skill;Electronics, Communication Systems, Engineering;;;Telecommunications, Aerospace, Electronics;;Telecommunications, Aerospace, Consumer Electronics;RF Engineer, Antenna Engineer, Communications Systems Engineer;Communication Systems, Wireless Networks;Electrical Engineering, Physics, Telecommunications;RF Design, Antenna Modeling, Wireless Communication;1-2 years (intermediate to advanced expertise);;
API Gateways;SKI-000029;Technical Skill;Software Engineering, Cloud Computing, Networking;;;Technology, Cloud Computing, SaaS;;Web Development, Cloud Applications, SaaS;API Engineer, Backend Developer, Cloud Solutions Architect;Web Applications, Cloud Services, Microservices;Computer Science, Software Engineering, Networking;API Design, Authentication, Load Balancing, Service Integration;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
API Security;SKI-000030;Technical Skill;Cybersecurity, Software Engineering;;;Technology, Cybersecurity, Cloud Computing;;Web Development, Cloud Computing, SaaS;Security Engineer, API Security Specialist, Backend Developer;Web Applications, API Security Systems;Computer Science, Cybersecurity;Encryption, Authentication, Access Control, Security Protocols;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Application Development;SKI-000031;Technical Skill;Software Engineering, Web Development;;;Technology, Mobile, Web Development;;Mobile Apps, Web Apps, Enterprise Software;Software Developer, Mobile Developer, Full Stack Developer;Mobile Applications, Web Platforms;Computer Science, Software Engineering;Programming, UI/UX Design, Databases, Problem Solving;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Application Engineering;SKI-000032;Technical Skill;Software Engineering, Product Design;;;Technology, Electronics, Consumer Goods;;SaaS, Embedded Systems, Consumer Electronics;Application Engineer, Software Engineer, Systems Engineer;Software Applications, Embedded Systems;Computer Science, Engineering, Product Design;Software Design, Debugging, System Integration, User Experience;1-2 years (intermediate to advanced expertise);;
Appointment Scheduling;SKI-000033;Technical Skill;Software Development, Business Operations;;;Healthcare, Education, Business Services;;Healthcare, Business Services, Education;Scheduling Software Developer, Operations Coordinator, IT Specialist;Appointment Scheduling Systems, Calendar Apps;Computer Science, Business Administration;Time Management, Database Design, User Interface Design;6-12 months (basic proficiency), 1 year (intermediate expertise);;
Approximation Algorithms;SKI-000034;Analytical & Technical Skill;Algorithms, Computer Science, Optimization;;;Technology, Research, AI, Operations Research;;Machine Learning, Data Science, Operations Research;Algorithm Engineer, Data Scientist, Researcher;Optimization Problems, Computational Models;Computer Science, Mathematics, Operations Research;Algorithm Design, Approximation Techniques, Computational Complexity;1-2 years (intermediate expertise);;
Approximation Theory;SKI-000035;Analytical & Technical Skill;Mathematics, Algorithms;;;Mathematics, Technology, Research;;AI, Operations Research, Data Science;Researcher, Algorithm Developer, Data Scientist;Computational Models, Optimization Algorithms;Mathematics, Computer Science, Operations Research;Theoretical Analysis, Approximation Methods, Proofs of Bounds;1-2 years (intermediate to advanced expertise);;
ARM Architecture;SKI-000036;Technical Skill;Computer Architecture, Hardware Design;;;Electronics, Consumer Electronics, Mobile;;Mobile Devices, Embedded Systems, Consumer Electronics;Embedded Systems Engineer, Hardware Engineer, Firmware Developer;Mobile Devices, Embedded Systems;Electrical Engineering, Computer Engineering;ARM Assembly, Processor Design, Low-Level Programming;1-2 years (intermediate expertise);;
ASIC Design;SKI-000037;Technical Skill;Electronics, Hardware Design;;;Electronics, Telecommunications, Computing;;Telecommunications, Consumer Electronics, Computing;ASIC Engineer, Hardware Engineer, System-on-Chip (SoC) Designer;Integrated Circuits, Consumer Electronics;Electrical Engineering, Computer Engineering;Circuit Design, Hardware Description Languages, Optimization Techniques;1-2 years (intermediate to advanced expertise);;
Assertion Languages;SKI-000038;Technical Skill;Software Engineering, Verification;;;Electronics, Software Engineering;;Embedded Systems, Semiconductor Design, Formal Verification;Verification Engineer, Hardware Engineer, Software Tester;Design Verification, Testbenches;Electrical Engineering, Computer Science;Formal Methods, Hardware Verification, Test Automation;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Assertion-Based Verification;SKI-000039;Technical Skill;Software Verification, Hardware Design;;;Electronics, Software Engineering;;Semiconductor Design, Embedded Systems, Software Development;Verification Engineer, Embedded Systems Engineer, Hardware Engineer;Verification Tools, Testbenches, Simulation Models;Electrical Engineering, Computer Science, Software Engineering;Formal Verification, Test Automation, Debugging, Model Checking;1-2 years (intermediate to advanced expertise);;
Asset Allocation;SKI-000040;Financial Skill;Finance, Investment Management;;;Finance, Investment, Wealth Management;;Hedge Funds, Wealth Management, Financial Planning;Portfolio Manager, Financial Analyst, Investment Advisor;Investment Portfolios, Risk Management;Finance, Economics, Mathematics;Risk Management, Portfolio Diversification, Statistical Analysis;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Asset Valuation;SKI-000041;Financial Skill;Finance, Real Estate, Investment;;;Finance, Real Estate, Private Equity;;Real Estate, Private Equity, Public Markets;Valuation Analyst, Financial Analyst, Real Estate Appraiser;Investment Valuation, Property Valuation;Finance, Economics, Real Estate;Market Analysis, Discounted Cash Flow, Comparable Analysis;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Astronomy;SKI-000042;Scientific Skill;Space Science, Physics;;;Research, Education, Space Exploration;;Research, Education, Space Exploration;Astronomer, Astrophysicist, Research Scientist;Space Research, Telescopes, Space Missions;Physics, Astronomy, Mathematics;Celestial Observation, Telescope Operation, Research Methods;2-3 years (intermediate to advanced expertise);;
Astronomy Data Formats;SKI-000043;Technical Skill;Data Science, Astronomy, Software Engineering;;;Research, Space Science, Astronomy;;Space Research, Data Science, Astrophysics;Data Scientist, Researcher, Software Developer;Space Observations, Data Analysis;Computer Science, Astronomy, Data Science;Data Parsing, Format Conversion, Data Storage Systems;6-12 months (basic proficiency), 1 year (intermediate expertise);;
Astrophysical Modeling;SKI-000044;Scientific & Technical Skill;Astrophysics, Computational Modeling;;;Research, Space Science, Education;;Space Research, Simulation, Education;Astrophysicist, Computational Scientist, Researcher;Space Simulations, Astrophysical Models;Physics, Mathematics, Computer Science;Numerical Simulation, Mathematical Modeling, Computational Physics;1-2 years (intermediate to advanced expertise);;
Astrophysical Simulations;SKI-000045;Technical Skill;Astrophysics, Computational Science;;;Research, Space Science, Education;;Research, Space Science, Simulations;Astrophysicist, Simulation Specialist, Research Scientist;Computational Models, Simulation Software;Physics, Computer Science, Mathematics;Simulation Software, Numerical Methods, High-Performance Computing;1-2 years (intermediate expertise);;
Astrophysics;SKI-000046;Scientific Skill;Physics, Space Science;;;Research, Space Science, Education;;Research, Education, Space Exploration;Astrophysicist, Research Scientist, Educator;Space Research, Scientific Discoveries;Physics, Mathematics, Astronomy;Theoretical Physics, Research, Data Analysis, Observation Methods;2-3 years (intermediate to advanced expertise);;
ATE;SKI-000047;Technical Skill;Electronics, Testing, Engineering;;;Electronics, Aerospace, Automotive;;Electronics Manufacturing, Aerospace, Automotive;Test Engineer, ATE Engineer, Electronics Engineer;Testing Systems, Electronics Validation;Electrical Engineering, Computer Science, Physics;Test Automation, Hardware Testing, Software Integration;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
ATE Equipment Maintenance;SKI-000048;Technical Skill;Electronics, Maintenance, Engineering;;;Electronics, Aerospace, Manufacturing;;Manufacturing, Aerospace, Electronics Repair;Maintenance Technician, ATE Engineer, Repair Specialist;Test Equipment, Circuit Boards, Diagnostic Systems;Electrical Engineering, Mechanical Engineering;Troubleshooting, Maintenance Protocols, Diagnostics;6-12 months (basic proficiency), 1 year (intermediate expertise);;
Atmospheric Modeling;SKI-000049;Scientific & Technical Skill;Atmospheric Science, Environmental Science;;;Environmental Science, Aerospace, Research;;Meteorology, Climate Science, Aerospace;Atmospheric Scientist, Meteorologist, Climate Modeler;Weather Forecasting, Climate Simulations;Environmental Science, Atmospheric Science, Physics;Numerical Weather Prediction, Data Assimilation, Climate Modeling;1-2 years (intermediate expertise);;
Audit Coordination;SKI-000050;Business & Organizational Skill;Audit, Risk Management, Compliance;;;Finance, Healthcare, Government, Corporate;;Finance, Healthcare, Government, Corporate;Audit Manager, Audit Coordinator, Compliance Officer;Audit Processes, Risk Management;Business Administration, Finance, Accounting;Coordination, Risk Assessment, Documentation, Regulatory Knowledge;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Audit Methodologies;SKI-000051;Analytical & Technical Skill;Audit, Risk Management, Compliance;;;Finance, Healthcare, Government, Corporate;;Finance, Government, Healthcare, Corporate;Auditor, Risk Analyst, Compliance Specialist;Audit Processes, Compliance Testing;Accounting, Finance, Business Administration;Internal Control Frameworks, Risk Assessment, Regulatory Knowledge;6-12 months (basic proficiency), 1 year (intermediate expertise);;
Authentication Protocols;SKI-000052;Technical Skill;Cybersecurity, Networking;;;Technology, Cybersecurity, IT;;Web Development, Cloud Computing, IT Security;Security Engineer, Network Engineer, Cybersecurity Analyst;Security Systems, Cloud Authentication;Computer Science, Network Engineering, Cybersecurity;Encryption, Access Control, Protocol Analysis, Identity Management;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Automated Assembly;SKI-000053;Technical Skill;Manufacturing, Robotics;;;Manufacturing, Automotive, Electronics;;Manufacturing, Automotive, Consumer Electronics;Automation Engineer, Robotics Engineer, Manufacturing Engineer;Production Lines, Robotics Systems;Mechanical Engineering, Electrical Engineering;Robotics, Process Optimization, Mechatronics, System Integration;1-2 years (intermediate to advanced expertise);;
Automated Test Equipment;SKI-000054;Technical Skill;Electronics, Testing, Engineering;;;Electronics, Aerospace, Automotive;;Electronics Manufacturing, Aerospace, Automotive;Test Engineer, ATE Engineer, Electronics Engineer;Testing Systems, Circuit Boards, Validation;Electrical Engineering, Computer Science, Physics;Test Automation, Hardware Testing, Software Integration;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Automation Systems;SKI-000055;Technical Skill;Engineering, Robotics, Control Systems;;;Manufacturing, Aerospace, Energy, Robotics;;Manufacturing, Automotive, Energy, Aerospace;Automation Engineer, Robotics Engineer, System Integrator;Automated Production Lines, Robotics, Control Systems;Mechanical Engineering, Electrical Engineering;Robotics, Control Theory, System Design, Automation Technology;1-2 years (intermediate expertise);;
Automation Tools;SKI-000056;Technical Skill;Software Engineering, Automation, Tools;;;IT, Software, Manufacturing;;IT, Software Development, Manufacturing;Automation Developer, Software Engineer, Tools Specialist;Testing Tools, Automation Frameworks;Computer Science, Software Engineering;Scripting, Process Automation, Tool Development, Integration;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Automotive Safety Standards;SKI-000057;Regulatory & Technical Skill;Automotive, Safety, Compliance;;;Automotive, Engineering, Compliance;;Automotive Manufacturing, Automotive Design;Safety Engineer, Regulatory Compliance Officer, Automotive Engineer;Vehicle Safety Systems, Compliance Testing;Mechanical Engineering, Automotive Engineering, Law;Safety Protocols, Regulatory Standards, Vehicle Testing;1-2 years (intermediate to advanced expertise);;
Automotive Systems;SKI-000058;Technical Skill;Automotive Engineering, Electronics;;;Automotive, Electronics;;Automotive Design, Automotive Manufacturing;Automotive Engineer, Systems Engineer, Electronics Engineer;Automotive Components, Infotainment Systems;Mechanical Engineering, Electrical Engineering, Automotive Technology;Systems Design, Integration, Embedded Systems, Diagnostics;1-2 years (intermediate expertise);;
Automotive Testing;SKI-000059;Technical Skill;Automotive Engineering, Testing;;;Automotive, Engineering;;Automotive Manufacturing, Research, Development;Test Engineer, Automotive Engineer, Quality Assurance Specialist;Vehicle Testing, Crash Simulation, Performance Evaluation;Mechanical Engineering, Automotive Engineering, Testing Methods;Vehicle Diagnostics, Performance Testing, Safety Standards;1-2 years (intermediate expertise);;
Autonomous Systems;SKI-000060;Technical Skill;Robotics, AI, Engineering;;;Robotics, Automotive, Aerospace, Technology;;Robotics, Autonomous Vehicles, Aerospace;Robotics Engineer, Autonomous Vehicle Engineer, AI Specialist;Self-Driving Cars, Drones, Robotic Systems;Robotics, Computer Science, Electrical Engineering;Machine Learning, Sensor Integration, System Design, Path Planning;1-2 years (intermediate to advanced expertise);;
Backtesting;SKI-000061;Analytical & Technical Skill;Finance, Data Science, Algorithms;;;Finance, Investment, Trading;;Trading, Investment, Financial Planning;Quantitative Analyst, Algorithmic Trader, Data Scientist;Financial Models, Trading Strategies;Finance, Economics, Data Science;Statistical Modeling, Risk Management, Performance Evaluation;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Banking Platforms Integration;SKI-000062;Technical Skill;Finance, Software Engineering;;;Banking, Fintech, Technology;;Banking, Fintech, Payment Systems;Integration Specialist, Banking Software Engineer, IT Specialist;Core Banking Systems, Payment Gateways;Computer Science, Finance, Software Engineering;API Integration, Security, System Interoperability;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Banking Software;SKI-000063;Technical Skill;Software Engineering, Finance;;;Banking, Fintech, Technology;;Banking, Fintech, Payment Systems;Software Engineer, Banking Systems Architect, Fintech Developer;Banking Applications, Payment Systems;Computer Science, Finance, Software Engineering;Financial Software Development, Security, UX/UI Design;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Banking-as-a-Service;SKI-000064;Business & Technical Skill;Finance, SaaS, Software Engineering;;;Banking, Fintech, Technology;;Fintech, Digital Banking;SaaS Architect, Fintech Developer, Business Development Manager;Digital Banking Platforms, Financial Services;Business Administration, Software Engineering, Finance;Cloud Solutions, API Development, Regulatory Compliance;6-12 months (basic proficiency), 1 year (intermediate expertise);;
Battery Management Systems;SKI-000065;Technical Skill;Engineering, Electronics, Software;;;Automotive, Energy, Electronics;;Electric Vehicles, Renewable Energy, Consumer Electronics;Battery Systems Engineer, Electrical Engineer, Energy Consultant;Electric Vehicle Batteries, Solar Power Systems;Electrical Engineering, Energy Systems, Computer Science;Battery Charging, Energy Storage, Power Management;1-2 years (intermediate to advanced expertise);;
Behavioral Analytics;SKI-000066;Analytical Skill;Data Science, Marketing, Psychology;;;Marketing, E-commerce, Technology;;E-commerce, Marketing, Consumer Behavior Research;Data Scientist, Behavioral Analyst, Marketing Specialist;Customer Insights, Behavioral Data Models;Data Science, Psychology, Marketing;Pattern Recognition, Customer Segmentation, Predictive Modeling;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Bioinformatics;SKI-000067;Scientific & Technical Skill;Bioinformatics, Computational Biology;;;Healthcare, Biotechnology, Pharmaceuticals;;Healthcare, Pharmaceuticals, Biotechnology;Bioinformatician, Computational Biologist, Research Scientist;Genomic Data Analysis, Healthcare Research;Biology, Computer Science, Data Science;Genomic Data Analysis, Statistical Methods, Molecular Biology;1-2 years (intermediate to advanced expertise);;
Bioinformatics Algorithms;SKI-000068;Analytical & Technical Skill;Bioinformatics, Computational Biology;;;Healthcare, Biotechnology, Pharmaceuticals;;Healthcare, Pharmaceuticals, Biotechnology;Computational Biologist, Bioinformatics Researcher, Data Scientist;Genomic Research, Drug Discovery Tools;Computer Science, Biology, Mathematics;Algorithm Development, Machine Learning, Data Analysis;1-2 years (intermediate to advanced expertise);;
Bioinformatics Databases;SKI-000069;Technical Skill;Bioinformatics, Data Management, Software;;;Healthcare, Biotechnology, Pharmaceuticals;;Healthcare, Pharmaceuticals, Research;Bioinformatics Database Administrator, Data Scientist, Researcher;Genomic Databases, Medical Data Repositories;Computer Science, Biology, Data Science;Database Design, Data Mining, Genomic Data Management;6-12 months (basic proficiency), 1 year (intermediate expertise);;
Bioinformatics Tools;SKI-000070;Technical Skill;Bioinformatics, Data Science, Software;;;Healthcare, Biotechnology, Pharmaceuticals;;Healthcare, Pharmaceuticals, Research;Bioinformatics Specialist, Data Scientist, Computational Biologist;Genomic Research, Medical Data Analysis;Computer Science, Biology, Data Science;Tool Development, Data Analysis, Genomic Data Processing;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Biological Data Integration;SKI-000071;Technical Skill;Bioinformatics, Data Science;;;Healthcare, Biotechnology, Pharmaceuticals;;Healthcare, Biotechnology, Research;Data Integration Specialist, Bioinformatics Analyst, Researcher;Genomic Data Integration, Medical Records;Computer Science, Biology, Data Science;Data Merging, Multi-Source Integration, Biological Data Analysis;1-2 years (intermediate to advanced expertise);;
Biological Database Management;SKI-000072;Technical Skill;Bioinformatics, Data Management;;;Healthcare, Research, Biotechnology;;Healthcare, Research, Biotechnology;Database Administrator, Bioinformatics Data Manager, Research Scientist;Medical Data Repositories, Genomic Databases;Computer Science, Biology, Data Management;Database Design, Data Storage, Genomic Data Management;1-2 years (intermediate expertise);;
Biological Databases;SKI-000073;Technical Skill;Bioinformatics, Data Management, Software;;;Healthcare, Biotechnology, Pharmaceuticals;;Healthcare, Pharmaceuticals, Research;Bioinformatics Specialist, Database Administrator, Researcher;Genomic Databases, Medical Data Repositories;Computer Science, Biology, Data Science;Data Organization, Data Mining, Bioinformatics Analysis;6-12 months (basic proficiency), 1 year (intermediate expertise);;
Biological Networks;SKI-000074;Analytical & Technical Skill;Bioinformatics, Network Analysis;;;Healthcare, Research, Pharmaceuticals;;Healthcare, Research, Pharmaceuticals;Bioinformatics Network Analyst, Systems Biologist, Researcher;Protein Interaction Networks, Biological Models;Biology, Computer Science, Data Science;Network Analysis, Systems Biology, Data Modeling;1-2 years (intermediate to advanced expertise);;
Blockchain;SKI-000075;Technical Skill;Cryptography, Distributed Systems;;;Technology, Finance, Supply Chain;;Finance, Technology, Supply Chain;Blockchain Developer, Cryptography Engineer, Software Engineer;Cryptocurrencies, Distributed Ledgers;Computer Science, Cryptography, Mathematics;Blockchain Development, Smart Contracts, Security Protocols;1-2 years (intermediate to advanced expertise);;
