name;slug;ownership;mission;known_for;project;research_areas;products;services;budget;founded;score;city_name;numberOfEmployees;parent_organization_name;metadata;authority;collections;description;facilities;founders;jurisdiction;members;offices;partners;personnel;programs_activities;serial_number;subsidiaries;subtype;type1;type2;student_count;undergraduates;postgraduates;countries;industries;working_area_cities
Securities and Exchange Commission (SEC);securities-and-exchange-commission-sec;;;;;;;;~$2.6 billion;1934;;Washington, D.C.;~5,000;Independent federal agency;;;;;;;U.S. securities markets;;;;;;AGE-000011;11 Regional Offices, Divisions, and Offices;Government;;;;;;;;
Federal Trade Commission (FTC);federal-trade-commission-ftc;;;;;;;;~$500 million;1914;;Washington, D.C.;~1,300;Independent federal agency;;;;Regulates securities markets, protects investors, and enforces securities laws;;;Commerce and consumer protection;;;;;;AGE-000012;Regional Offices, Bureaus of Competition, Consumer Protection, and Economics;Government;;;;;;;;
Federal Communications Commission (FCC);federal-communications-commission-fcc;;;;;;;;~$390 million;1934;;Washington, D.C.;~1,500;Independent federal agency;;;;Enforces antitrust and consumer protection laws;;;Telecommunications, broadcasting, satellite, broadband;;;;;;AGE-000013;Enforcement Bureau, Media Bureau, Wireline Competition Bureau, regional field operations;Government;;;;;;;;
Nuclear Regulatory Commission (NRC);nuclear-regulatory-commission-nrc;;;;;;;;~$1.1 billion;1974;;Rockville;~3,000;Independent federal agency;;;;Regulates interstate and international communications;;;Civilian nuclear safety;;;;;;AGE-000014;Four Regional Offices and program offices;Government;;;;;;;;
Federal Energy Regulatory Commission (FERC);federal-energy-regulatory-commission-ferc;;;;;;;;~$550 million;1977;;Washington, D.C.;~1,700;Independent federal agency;;;;Licenses and regulates civilian nuclear facilities and materials;;;Interstate energy infrastructure and wholesale energy markets;;;;;;AGE-000015;Office of Energy Projects, Office of Enforcement, regional operations;Government;;;;;;;;
Equal Employment Opportunity Commission (EEOC);equal-employment-opportunity-commission-eeoc;;;;;;;;~$450 million;1965;;Washington, D.C.;~2,000;Independent federal agency;;;;Regulates interstate electricity, natural gas, LNG, and hydropower;;;Employment discrimination;;;;;;AGE-000016;15 District Offices, Field Offices, Area Offices;Government;;;;;;;;
Consumer Product Safety Commission (CPSC);consumer-product-safety-commission-cpsc;;;;;;;;~$180 million;1972;;Bethesda;~550;Independent federal agency;;;;Enforces federal workplace anti-discrimination laws;;;Consumer product safety;;;;;;AGE-000017;Office of Compliance, Office of Hazard Identification, National Product Testing Center;Government;;;;;;;;
Commodity Futures Trading Commission (CFTC);commodity-futures-trading-commission-cftc;;;;;;;;~$400 million;1974;;Washington, D.C.;~750;Independent federal agency;;;;Protects consumers from hazardous products;;;Commodity futures and derivatives markets;;;;;;AGE-000018;Divisions of Market Oversight, Enforcement, Clearing and Risk, regional offices;Government;;;;;;;;
Federal Election Commission (FEC);federal-election-commission-fec;;;;;;;;~$95 million;1975;;Washington, D.C.;~300;Independent federal agency;;;;Regulates derivatives, futures, and swaps markets;;;Federal elections and campaign finance;;;;;;AGE-000019;Office of General Counsel, Reports Analysis Division, Audit Division;Government;;;;;;;;
United States International Trade Commission (USITC);united-states-international-trade-commission-usitc;;;;;;;;~$130 million;1916 (as the U.S. Tariff Commission);;Washington, D.C.;~400;Independent federal agency;;;;Administers and enforces federal campaign finance laws;;;International trade and import investigations;;;;;;AGE-000020;Office of Investigations, Office of Economics, Office of Unfair Import Investigations;Government;;;;;;;;
Department of Defense (DoD);department-of-defense-dod;;;;;;;;;1947;;The Pentagon, Arlington, Virginia;~950,000;Executive Branch;;;;Conducts trade investigations and advises on international trade policy;;;Worldwide;;;;;National defense, military operations, cybersecurity, research, procurement;GOV-000001;Army, Navy, Air Force, Marine Corps, Space Force, Joint Staff, Defense Agencies;Government;;;;;;;;
Department of Veterans Affairs (VA);department-of-veterans-affairs-va;;;;;;;;;1930 (Cabinet status 1989);;Washington, DC;~486,000;Executive Branch;;;;Oversees U.S. military and national defense;;;United States;;;;;Veteran healthcare, disability compensation, pensions, education benefits;GOV-000002;Veterans Health Administration (VHA), Veterans Benefits Administration (VBA), National Cemetery Administration (NCA);Government;;;;;;;;
Department of Homeland Security (DHS);department-of-homeland-security-dhs;;;;;;;;;2002;;St. Elizabeths Campus, Washington, DC;~260,000;Executive Branch;;;;Provides healthcare and benefits to veterans;;;United States;;;;;Border security, immigration, cybersecurity, emergency management, transportation security;GOV-000003;FEMA, TSA, CBP, ICE, USCIS, Secret Service, Coast Guard, CISA (Wikipedia);Government;;;;;;;;
Department of Justice (DOJ);department-of-justice-doj;;;;;;;;;1870;;Washington, DC;~107,000;Executive Branch;;;;Protects the U.S. from terrorism and manages border security;;;United States;;;;;Criminal prosecution, civil litigation, law enforcement, civil rights;GOV-000004;FBI, DEA, ATF, U.S. Marshals Service, Bureau of Prisons, U.S. Attorneys (Wikipedia);Government;;;;;;;;
Department of the Treasury;department-of-the-treasury;;;;;;;;;1789;;Washington, DC;~90,000;Executive Branch;;;;Enforces federal law and administers justice;;;United States;;;;;Tax collection, public debt, currency production, financial sanctions;GOV-000005;IRS, U.S. Mint, OCC, FinCEN, Bureau of Fiscal Service (Wikipedia);Government;;;;;;;;
Department of Health and Human Services (HHS);department-of-health-and-human-services-hhs;;;;;;;;;1953;;Washington, DC;~83,000;Executive Branch;;;;Manages federal finances and tax collection;;;United States;;;;;Medicare, Medicaid, disease control, biomedical research, public health;GOV-000006;CDC, NIH, FDA, CMS, ACF, HRSA;Government;;;;;;;;
Department of Agriculture (USDA);department-of-agriculture-usda;;;;;;;;;1862;;Washington, DC;~72,000;Executive Branch;;;;Protects public health and administers health programs;;;United States;;;;;Food safety, nutrition assistance, farming support, forestry;GOV-000007;Forest Service, Food Safety & Inspection Service, Farm Service Agency, NRCS, APHIS (Wikipedia);Government;;;;;;;;
Department of the Interior (DOI);department-of-the-interior-doi;;;;;;;;;1849;;Washington, DC;~57,000;Executive Branch;;;;Supports agriculture and rural development;;;United States;;;;;National parks, wildlife conservation, tribal affairs, resource management;GOV-000008;National Park Service, Bureau of Land Management, U.S. Geological Survey, Fish & Wildlife Service, Bureau of Indian Affairs (Wikipedia);Government;;;;;;;;
Department of Transportation (DOT);department-of-transportation-dot;;;;;;;;;1967;;Washington, DC;~59,000;Executive Branch;;;;Manages public lands and natural resources;;;United States;;;;;Aviation, highways, rail, transit, maritime safety;GOV-000009;FAA, FHWA, FRA, FTA, NHTSA, Maritime Administration (Wikipedia);Government;;;;;;;;
Department of State;department-of-state;;;;;;;;;1789;;Harry S. Truman Building, Washington, DC;~80,000;Executive Branch;;;;Oversees transportation systems and infrastructure;;;Worldwide;;;;;Diplomacy, embassies, passports, visas, foreign assistance;GOV-000010;Foreign Service, U.S. Embassies & Consulates, Bureau of Consular Affairs, USAID coordination (where applicable) (Wikipedia);Government;;;;;;;;
Library of Congress (United States);library-of-congress-united-states;;;;;;;Research services, copyright registration, digitization, preservation, exhibitions, cataloging;US$900M+;1800;;Washington, D.C., USA;~3,300;U.S. Congress;;;Books, manuscripts, maps, photographs, newspapers, films, recordings, digital collections;Conducts foreign policy and diplomacy;;;;178+ million items;;;;;LIB-000001;;Library;;;;;;;;
British Library (United Kingdom);british-library-united-kingdom;;;;;;;Reading rooms, research support, legal deposit, digitization, business services;£170M+;1973 (collections date back centuries);;London, England;~1,700;UK Department for Culture, Media & Sport;;;Books, manuscripts, newspapers, maps, patents, sound archives, digital collections;;;;;170+ million items;;;;;LIB-000002;;Library;;;;;;;;
National Library of China;national-library-of-china;;;;;;;National bibliography, preservation, research, digitization;Not publicly disclosed;1909;;Beijing, China;~2,000;Ministry of Culture and Tourism;;;Chinese books, rare manuscripts, local gazetteers, digital resources, foreign publications;;;;;43+ million items;;;;;LIB-000003;;Library;;;;;;;;
Russian State Library;russian-state-library;;;;;;;Research, interlibrary loan, digital library, preservation;Not publicly disclosed;1862;;Moscow, Russia;~1,800;Ministry of Culture of Russia;;;Books, dissertations, maps, music, newspapers, manuscripts;;;;;48+ million items;;;;;LIB-000004;;Library;;;;;;;;
National Diet Library (Japan);national-diet-library-japan;;;;;;;Parliamentary research, legal deposit, digitization, public reference;¥20B+;1948;;Tokyo & Kyoto, Japan;~900;National Diet (Parliament of Japan);;;Books, journals, official publications, maps, digital archives;;;;;46+ million items;;;;;LIB-000005;;Library;;;;;;;;
Bibliothèque nationale de France (BnF);bibliotheque-nationale-de-france-bnf;;;;;;;Research, preservation, legal deposit, exhibitions, digital library (Gallica);€250M+;1461 (royal origins);;Paris, France;~2,200;Ministry of Culture;;;Books, manuscripts, prints, photographs, coins, maps, digital collections;;;;;40+ million items;;;;;LIB-000006;;Library;;;;;;;;
Berlin State Library (Staatsbibliothek zu Berlin);berlin-state-library-staatsbibliothek-zu-berlin;;;;;;;Research support, digitization, special collections;€100M+;1661;;Berlin, Germany;~900;Prussian Cultural Heritage Foundation;;;Books, manuscripts, maps, music, newspapers, oriental collections;;;;;25+ million items;;;;;LIB-000007;;Library;;;;;;;;
New York Public Library (NYPL);new-york-public-library-nypl;;;;;;;Lending, research, literacy, education, digital access;US$400M+;1895;;New York City, USA;~3,100;Private nonprofit corporation;;;Books, manuscripts, archives, photographs, digital collections;;;;;55+ million items;;;;;LIB-000008;;Library;;;;;;;;
National Library of Russia;national-library-of-russia;;;;;;;National bibliography, research, preservation, digitization;Not publicly disclosed;1795;;Saint Petersburg, Russia;~1,700;Ministry of Culture of Russia;;;Books, manuscripts, maps, journals, newspapers, rare books;;;;;38+ million items;;;;;LIB-000009;;Library;;;;;;;;
National Library of Spain (Biblioteca Nacional de España);national-library-of-spain-biblioteca-nacional-de-espana;;;;;;;Legal deposit, research, preservation, digitization, exhibitions;€60M+;1712;;Madrid, Spain;~1,000;Ministry of Culture;;;Books, manuscripts, maps, prints, music, audiovisual materials;;;;;35+ million items;;;;;LIB-000010;;Library;;;;;;;;
Social Security Administration (SSA);social-security-administration-ssa;;;;;;;Retirement benefits, disability insurance, Medicare enrollment, Social Security numbers;US$1.5T+ (benefit payments & operations);1935;;Woodlawn, Maryland;~57,000;Independent Agency;;;;;;;;Retirees, disabled individuals, survivors;;;;;SER-000001;Office of Retirement & Disability Policy, Office of Operations, Office of Hearings Operations;Government;;;;;;;;
Centers for Medicare & Medicaid Services (CMS);centers-for-medicare-medicaid-services-cms;;;;;;;Health insurance, reimbursement, quality oversight;US$1.6T+;1977;;Baltimore, Maryland;~6,700;Department of Health and Human Services (HHS);;;;Administers Social Security retirement, disability, and survivor benefits;;;;Medicare and Medicaid beneficiaries, states, insurers;;;;;SER-000002;Medicare Program, Medicaid, CHIP, Health Insurance Marketplace, Innovation Center (CMMI);Government;;;;;;;;
Internal Revenue Service (IRS);internal-revenue-service-irs;;;;;;;Tax collection, refunds, taxpayer assistance, enforcement;US$14B+ (operations);1862;;Washington, D.C.;~90,000;Department of the Treasury;;;;Administers Medicare, Medicaid, CHIP, and health insurance marketplace programs;;;;Individual taxpayers, businesses, nonprofits;;;;;SER-000003;Taxpayer Services, Criminal Investigation, Large Business & International, Small Business/Self-Employed;Government;;;;;;;;
U.S. Citizenship and Immigration Services (USCIS);u-s-citizenship-and-immigration-services-uscis;;;;;;;Immigration benefits, naturalization, asylum, employment authorization;US$5–6B (primarily fee-funded);2003;;Camp Springs, Maryland;~20,000;Department of Homeland Security (DHS);;;;Collects federal taxes and administers the U.S. tax system;;;;Immigrants, employers, refugees, U.S. citizens sponsoring family;;;;;SER-000004;Refugee Affairs, Asylum Division, Field Operations Directorate, Service Centers;Government;;;;;;;;
Federal Emergency Management Agency (FEMA);federal-emergency-management-agency-fema;;;;;;;Disaster assistance, emergency preparedness, grants;US$30B+ (varies with disasters);1979;;Washington, D.C.;~20,000;Department of Homeland Security (DHS);;;;Processes immigration and naturalization benefits;;;;Individuals, communities, state and local governments;;;;;SER-000005;National Flood Insurance Program, Individual Assistance, Public Assistance, Hazard Mitigation Grant Program;Government;;;;;;;;
Veterans Health Administration (VHA);veterans-health-administration-vha;;;;;;;Healthcare, mental health, rehabilitation, pharmacy;US$130B+;1946;;Washington, D.C.;~400,000;Department of Veterans Affairs (VA);;;;Coordinates disaster preparedness, response, recovery, and mitigation;;;;U.S. military veterans;;;;;SER-000006;Veterans Integrated Service Networks (VISNs), VA Medical Centers, Community-Based Outpatient Clinics;Government;;;;;;;;
National Park Service (NPS);national-park-service-nps;;;;;;;Park management, conservation, recreation, education;US$4B+;1916;;Washington, D.C.;~20,000;Department of the Interior;;;;Operates the nation's largest integrated healthcare system;;;;General public, tourists, researchers;;;;;SER-000007;National Parks, National Monuments, Historic Sites, National Recreation Areas;Government;;;;;;;;
Federal Aviation Administration (FAA);federal-aviation-administration-faa;;;;;;;Air traffic control, aviation safety, airport grants;US$20B+;1958;;Washington, D.C.;~45,000;Department of Transportation (DOT);;;;Manages U.S. national parks and historic sites;;;;Airlines, pilots, airports, travelers;;;;;SER-000008;Air Traffic Organization, Aviation Safety, Airports Program, Commercial Space Transportation;Government;;;;;;;;
U.S. Postal Service (USPS);u-s-postal-service-usps;;;;;;;Mail delivery, package shipping, retail postal services;US$80B+;1775 (independent establishment since 1971);;Washington, D.C.;~635,000;Independent Establishment;;;;Regulates civil aviation and manages U.S. air traffic;;;;Every U.S. resident and business;;;;;SER-000009;Postal Districts, Processing & Distribution Centers, Retail Post Offices, Postal Inspection Service;Government;;;;;;;;
Small Business Administration (SBA);small-business-administration-sba;;;;;;;Business financing, disaster loans, government contracting;"US$1–2B (operating; loan programs much larger)";1953;;Washington, D.C.;~3,000;Independent Agency;;;;Provides nationwide mail and package delivery;;;;Small businesses, entrepreneurs, nonprofits;;;;;SER-000010;7(a) Loan Program, 504 Loan Program, Disaster Loan Program, SCORE, Small Business Development Centers (SBDCs);Government;;;;;;;;
Cybersecurity Directorate (CSD);cybersecurity-directorate-csd;;;;;;;;US$2B+;2018;;Arlington, Virginia;~2,000;Cybersecurity and Infrastructure Security Agency (CISA), Department of Homeland Security;;;;Supports small businesses through loans and counseling;;;;;;;;Cyber defense, vulnerability management, incident response, Secure by Design initiatives;DIR-000001;Joint Cyber Defense Collaborative (JCDC), Vulnerability Management, Cyber Defense Operations, Stakeholder Engagement;Government;;;;;;;;
Science Directorate;science-directorate;;;;;;;;US$1B+;2003;;Washington, D.C.;~1,500;Department of Homeland Security;;;;Leads national cybersecurity operations, risk management, and critical infrastructure protection;;;;;;;;Homeland security R&D, testing, emerging technologies, first responder technologies;DIR-000002;Office of National Laboratories, Chemical Security Analysis Center, Counter-UAS Program;Government;;;;;;;;
Directorate for Technology, Innovation and Partnerships (TIP);directorate-for-technology-innovation-and-partnerships-tip;;;;;;;;US$1.5B+;2022;;Alexandria, Virginia;~400;National Science Foundation (NSF);;;;Supports scientific research, technology development, and standards for homeland security;;;;;;;;AI, quantum, biotechnology, regional innovation, technology translation;DIR-000003;Regional Innovation Engines, Convergence Accelerator, Innovation Corps (I-Corps);Government;;;;;;;;
Directorate for Geosciences (GEO);directorate-for-geosciences-geo;;;;;;;;US$1.5B+;1980;;Alexandria, Virginia;~300;National Science Foundation;;;;Accelerates emerging technologies and commercialization;;;;;;;;Climate science, oceanography, atmospheric science, polar research;DIR-000004;Division of Atmospheric & Geospace Sciences, Division of Earth Sciences, Division of Ocean Sciences;Government;;;;;;;;
