name;serial_number;issuing_organization_name;description;level;category;products;jobs;validity_duration_months;difficulty;website_url;score;metadata
Adobe Analytics Business Practitioner Professional;CER-000013;Adobe;This certification focuses on using Adobe Analytics for business insights and reporting. It includes key skills like setting up reports, creating segments, and analyzing traffic and user behavior for marketing optimization.;;VENDORPRODUCT;Adobe Analytics, Reporting Tools;Business Analyst, Digital Marketing Analyst, Marketing Analyst, Data Specialist, Performance Marketing Manager;;Intermediate;;;
Adobe Analytics Data Analyst Professional;CER-000014;Adobe;This certification focuses on the fundamentals of data analysis using Adobe Analytics. It covers data collection, report building, and basic interpretation of user data to help businesses make data-driven decisions.;;VENDORPRODUCT;Adobe Analytics, Data Analysis Tools;Data Analyst, Marketing Analyst, Business Intelligence Analyst, Digital Analyst, Web Analyst;;Intermediate;;;
Adobe Analytics Developer Expert;CER-000015;Adobe;The Developer Expert certification covers advanced configuration and customization of Adobe Analytics, focusing on implementation, data collection, and API integrations. Ideal for those working on technical aspects of analytics platforms.;;VENDORPRODUCT;Adobe Analytics, API Integration Tools;Analytics Developer, Web Developer, Data Integration Specialist, Technical Consultant, Analytics Engineer;;Expert;;;
Adobe Analytics Developer Professional;CER-000016;Adobe;This certification focuses on the practical aspects of setting up and customizing Adobe Analytics for tracking and data collection. It’s ideal for developers who implement and maintain analytics solutions.;;VENDORPRODUCT;Adobe Analytics, Data Collection Tools;Web Developer, Analytics Developer, Data Integration Specialist, Digital Analyst, Front-End Developer;;Intermediate;;;
Adobe Audience Manager Architect Master;CER-000017;Adobe;This expert-level certification focuses on advanced configurations and architectures in Adobe Audience Manager. It covers data management, audience segmentation, and integration of Adobe solutions to enhance audience targeting.;;VENDORPRODUCT;Adobe Audience Manager, Data Management Platform;Audience Manager Architect, Data Architect, Digital Marketing Consultant, Data Integration Specialist, Campaign Manager;;Expert;;;
Adobe Audience Manager Business Practitioner Expert;CER-000018;Adobe;The Business Practitioner Expert certification focuses on leveraging Adobe Audience Manager for data segmentation, customer insights, and campaign targeting. It emphasizes using data effectively to optimize customer engagement and marketing performance.;;VENDORPRODUCT;Adobe Audience Manager, Customer Segmentation Tools;Marketing Analyst, Digital Advertising Specialist, Data Analyst, Campaign Manager, Marketing Manager;;Expert;;;
Adobe Audience Manager Business Practitioner Professional;CER-000019;Adobe;This certification provides practical knowledge of Adobe Audience Manager for audience data analysis, segmentation, and marketing personalization. It’s ideal for professionals implementing targeted advertising strategies.;;VENDORPRODUCT;Adobe Audience Manager, Audience Segmentation Tools;Digital Marketer, Campaign Manager, Audience Analyst, Marketing Specialist, Performance Analyst;;Intermediate;;;
Adobe Campaign Classic Architect Master;CER-000020;Adobe;This advanced certification focuses on the architecture and strategic implementation of Adobe Campaign Classic. It covers data integration, workflow design, and managing marketing automation at scale.;;VENDORPRODUCT;Adobe Campaign Classic, Marketing Automation Tools;Campaign Architect, Marketing Automation Specialist, Campaign Manager, Technical Marketing Consultant, Solution Architect;;Expert;;;
Adobe Campaign Classic Business Practitioner Expert;CER-000021;Adobe;This certification emphasizes the use of Adobe Campaign Classic for campaign management, customer journey mapping, and personalized marketing. It’s geared towards advanced users looking to optimize customer engagement strategies.;;VENDORPRODUCT;Adobe Campaign Classic, Campaign Management Tools;Campaign Manager, Marketing Automation Specialist, Digital Campaign Lead, Email Marketing Manager, Marketing Operations Director;;Expert;;;
Adobe Campaign Classic Business Practitioner Professional;CER-000022;Adobe;This certification focuses on using Adobe Campaign Classic for effective campaign execution, reporting, and analytics. It teaches users how to set up and run targeted email campaigns and measure marketing success.;;VENDORPRODUCT;Adobe Campaign Classic, Email Campaign Tools;Campaign Specialist, Email Marketing Manager, Digital Marketing Coordinator, CRM Specialist, Campaign Analyst;;Intermediate;;;
Adobe Campaign Classic Developer Expert;CER-000023;Adobe;The Developer Expert certification covers advanced skills in developing and customizing Adobe Campaign Classic, including integrating data sources, automation, and API-driven workflows.;;VENDORPRODUCT;Adobe Campaign Classic, API Integration, Workflow Automation;Campaign Developer, Marketing Automation Developer, Data Integration Specialist, Technical Consultant, API Developer;;Expert;;;
Adobe Campaign Classic Developer Professional;CER-000024;Adobe;This certification focuses on the practical skills required to develop and customize Adobe Campaign Classic. It includes tasks like creating custom workflows, data imports, and client-specific integrations.;;VENDORPRODUCT;Adobe Campaign Classic, Data Import Tools;Campaign Developer, Marketing Automation Developer, CRM Developer, Data Integration Developer, Email Developer;;Intermediate;;;
Adobe Campaign Developer;CER-000025;Adobe;Validates proficiency in designing, implementing, and troubleshooting marketing campaigns using Adobe Campaign.;;VENDORPRODUCT;Adobe Campaign;Marketing Automation Developer, CRM Engineer, Email Marketing Specialist, Campaign Developer, Marketing Technologist;;Intermediate;;;
Adobe Campaign Developer Expert;CER-000026;Adobe;This expert-level certification dives deep into Adobe Campaign's development environment. It focuses on advanced development tasks such as custom workflows, system integration, and building tailored marketing solutions for large-scale campaigns.;;VENDORPRODUCT;Adobe Campaign, Custom Workflow Tools;Marketing Automation Developer, CRM Specialist, Campaign Engineer, Solution Developer, Technical Consultant;;Expert;;;
Adobe Campaign Standard Business Practitioner Expert;CER-000027;Adobe;This certification targets professionals using Adobe Campaign Standard for building and executing cross-channel campaigns. It focuses on optimizing customer engagement through automation, segmentation, and campaign performance analysis.;;VENDORPRODUCT;Adobe Campaign Standard, Cross-Channel Marketing;Campaign Specialist, Marketing Operations Expert, Email Marketing Manager, Digital Campaign Specialist, Marketing Automation Consultant;;Expert;;;
Adobe Captivate Certified Professional;CER-000028;Adobe;This certification is designed for professionals who use Adobe Captivate to create interactive eLearning content. It covers advanced features like responsive design, multimedia integration, and mobile compatibility.;;VENDORPRODUCT;Adobe Captivate, eLearning Tools;eLearning Developer, Instructional Designer, Content Developer, Training Specialist, eLearning Specialist;;Advanced;;;
Adobe Certified – SiteCatalyst Processing Rules;CER-000029;Adobe;Demonstrates understanding of Adobe Analytics Processing Rules to manipulate and enhance data collection for reporting accuracy.;;VENDORPRODUCT;Adobe Analytics (SiteCatalyst);Data Analyst, Digital Analytics Specialist, Marketing Technologist, Web Analyst, Tagging Engineer;;Intermediate;;;
Adobe Certified Business Practitioner – Experience Manager;CER-000030;Adobe;Certifies ability to translate business needs into AEM solutions, optimize workflows, and manage digital assets effectively.;;VENDORPRODUCT;Adobe Experience Manager;Digital Strategist, AEM Consultant, Project Manager, Business Analyst, CMS Administrator;;Advanced;;;
Adobe Certified Experience Manager Assets Developer;CER-000031;Adobe;Focuses on developing, extending, and integrating AEM Assets to manage and deliver digital content efficiently.;;VENDORPRODUCT;Adobe Experience Manager Assets;AEM Developer, Web Engineer, CMS Developer, Integration Specialist, Front-End Developer;;Intermediate;;;
Adobe Certified Experience Manager DevOps Engineer;CER-000032;Adobe;Validates expertise in automating, deploying, and maintaining Adobe Experience Manager (AEM) environments through CI/CD, performance tuning, and infrastructure management.;;VENDORPRODUCT;Adobe Experience Manager;DevOps Engineer, AEM Administrator, Cloud Engineer, Systems Integrator, Site Reliability Engineer;;Advanced;;;
Adobe Certified Expert (ACE) – Captivate 5.5;CER-000033;Adobe;Demonstrates proficiency in creating eLearning modules, interactive simulations, and assessments using Adobe Captivate 5.5.;;VENDORPRODUCT;Adobe Captivate;eLearning Developer, Instructional Designer, Training Specialist, Multimedia Producer, Education Technologist;;Intermediate;;;
Adobe Certified Expert (ACE) – Captivate with eLearning Suite;CER-000034;Adobe;Focuses on integrating Captivate with Adobe eLearning Suite tools for developing and managing interactive online training.;;VENDORPRODUCT;Adobe eLearning Suite;Instructional Designer, Learning Consultant, eLearning Developer, LMS Specialist, Multimedia Designer;;Advanced;;;
Adobe Certified Expert (ACE) – ColdFusion 9;CER-000035;Adobe;Validates the ability to develop, deploy, and maintain dynamic web applications using Adobe ColdFusion 9.;;VENDORPRODUCT;Adobe ColdFusion;Web Developer, Application Developer, Software Engineer, Backend Developer, Systems Programmer;;Intermediate;;;
Adobe Certified Expert (ACE) – Experience Manager 6;CER-000036;Adobe;Recognizes proficiency in configuring, customizing, and managing AEM 6 for digital content delivery and web experience management.;;VENDORPRODUCT;Adobe Experience Manager;AEM Developer, CMS Engineer, Web Application Developer, Technical Consultant, Solutions Architect;;Advanced;;;
Adobe Certified Expert (ACE) – Flex 4.5;CER-000037;Adobe;Certifies ability to develop rich internet applications (RIAs) using Adobe Flex 4.5 and ActionScript.;;VENDORPRODUCT;Adobe Flex;Front-End Developer, UI Engineer, Flash/Flex Developer, Software Engineer, Web Application Developer;;Intermediate;;;
Adobe Certified Expert in InDesign;CER-000038;Adobe;Validates proficiency in creating professional print and digital layouts, styles, and templates using Adobe InDesign.;;VENDORPRODUCT;Adobe InDesign;Graphic Designer, Layout Artist, Publishing Specialist, Print Designer, Marketing Designer;;Intermediate;;;
Adobe Certified Expert in Photoshop;CER-000039;Adobe;Certifies expertise in image editing, retouching, and digital compositing using Adobe Photoshop.;;VENDORPRODUCT;Adobe Photoshop;Graphic Designer, Photo Editor, Digital Artist, Creative Specialist, Visual Designer;;Intermediate;;;
Adobe Certified Master;CER-000040;Adobe;Recognizes mastery across multiple Adobe Creative Cloud applications, demonstrating comprehensive creative workflow proficiency.;;VENDORPRODUCT;Adobe Creative Cloud;Senior Designer, Art Director, Creative Lead, Digital Media Specialist, Visual Communication Expert;;Expert;;;
Adobe Certified Master – Commerce Architect;CER-000041;Adobe;Focuses on designing and implementing scalable Adobe Commerce (Magento) architectures integrating business logic, APIs, and custom modules.;;VENDORPRODUCT;Adobe Commerce (Magento);Commerce Architect, Solutions Architect, Magento Developer, eCommerce Consultant, Technical Lead;;Expert;;;
Adobe Certified Professional in Illustrator;CER-000042;Adobe;Demonstrates foundational skills in vector illustration, logo design, and layout creation using Adobe Illustrator.;;VENDORPRODUCT;Adobe Illustrator;Graphic Designer, Illustrator, Branding Specialist, Visual Designer, Print Artist;;Intermediate;;;
Adobe Certified Professional in Photoshop;CER-000043;Adobe;Recognizes basic proficiency in image editing, correction, and compositing for print and web media.;;VENDORPRODUCT;Adobe Photoshop;Junior Graphic Designer, Photo Editor, Digital Imaging Assistant, Content Creator, Visual Artist;;Intermediate;;;
Adobe Certified Professional in Premiere Pro;CER-000044;Adobe;Validates ability to edit and produce professional-quality videos using Adobe Premiere Pro.;;VENDORPRODUCT;Adobe Premiere Pro;Video Editor, Content Producer, Media Specialist, Film Editor, Multimedia Editor;;Intermediate;;;
Adobe Certified Professional in Video Design;CER-000045;Adobe;Demonstrates skill in creating cohesive video projects using Premiere Pro and After Effects workflows.;;VENDORPRODUCT;Adobe Premiere Pro & After Effects;Video Designer, Multimedia Producer, Video Editor, Content Creator, Post-Production Assistant;;Intermediate;;;
Adobe Certified Professional in Visual Design;CER-000046;Adobe;Certifies understanding of core design principles using Photoshop and Illustrator for digital and print media.;;VENDORPRODUCT;Adobe Photoshop & Illustrator;Graphic Designer, Creative Assistant, Marketing Designer, Visual Content Creator, Junior Art Director;;Intermediate;;;
Adobe Certified Professional in Web Design;CER-000047;Adobe;Focuses on designing and publishing responsive websites using Adobe Dreamweaver and related web tools.;;VENDORPRODUCT;Adobe Dreamweaver;Web Designer, Front-End Developer, UI Designer, Digital Media Specialist, Web Content Manager;;Intermediate;;;
Adobe ColdFusion Certified Professional;CER-000048;Adobe;This certification focuses on advanced skills in using Adobe ColdFusion for building dynamic websites and web applications. It includes topics such as data integration, security features, and advanced programming techniques.;;VENDORPRODUCT;Adobe ColdFusion, Web Development Tools;Web Developer, ColdFusion Developer, Application Developer, Backend Developer, Full-Stack Developer;;Advanced;;;
Adobe Commerce Architect Master;CER-000049;Adobe;This expert-level certification focuses on building and scaling Adobe Commerce (Magento) architectures. It covers integration, customizations, and optimizing eCommerce systems for enterprise-level businesses.;;VENDORPRODUCT;Adobe Commerce (Magento), eCommerce Platforms;eCommerce Architect, Solution Architect, Systems Integrator, Magento Consultant, Enterprise Architect;;Expert;;;
Adobe Commerce Business Practitioner Expert;CER-000050;Adobe;This certification focuses on mastering Adobe Commerce for business strategy. It covers advanced knowledge of eCommerce platform management, including marketing, customer experience, and product management strategies.;;VENDORPRODUCT;Adobe Commerce (Magento), Business Strategy Tools;eCommerce Manager, Business Analyst, Digital Marketing Manager, Marketing Director, Product Manager;;Expert;;;
Adobe Commerce Business Practitioner Professional;CER-000051;Adobe;This certification is for professionals looking to deepen their understanding of Adobe Commerce. It covers topics like product catalog management, payment systems, and customer experience optimization.;;VENDORPRODUCT;Adobe Commerce (Magento), Product Management Tools;eCommerce Specialist, Business Analyst, Marketing Specialist, Digital Commerce Manager, Product Owner;;Advanced;;;
Adobe Commerce Cloud Developer;CER-000052;Adobe;Focuses on developing and deploying cloud-based Adobe Commerce solutions. Covers cloud architecture, integration, CI/CD workflows, and performance tuning for scalable e-commerce environments.;;VENDORPRODUCT;Adobe Commerce Cloud;Cloud E-commerce Developer, Adobe Commerce Architect, DevOps Engineer, Solutions Developer, Technical Consultant;;Advanced;;;
Adobe Commerce Developer – Associate;CER-000053;Adobe;Designed for developers with foundational knowledge, this certification tests practical skills in Adobe Commerce setup, basic customization, and extension development. It ensures developers can implement standard commerce solutions efficiently.;;VENDORPRODUCT;Adobe Commerce;Magento Developer, Frontend Developer, Web Developer, Junior E-commerce Developer, Technical Support Engineer;;Intermediate;;;
Adobe Commerce Developer – Professional Plus;CER-000054;Adobe;This certification validates advanced skills in Adobe Commerce development, including complex architecture, custom module development, and performance optimization. Professionals demonstrate deep expertise in designing scalable e-commerce solutions.;;VENDORPRODUCT;Adobe Commerce;Senior Magento Developer, E-commerce Solutions Architect, Adobe Commerce Consultant, Technical Lead, Web Application Developer;;Expert;;;
Adobe Commerce Developer Expert;CER-000055;Adobe;This advanced certification is for developers working with Adobe Commerce (Magento). It covers the full scope of development, including customization, plugin development, and system integration.;;VENDORPRODUCT;Adobe Commerce (Magento), Development Tools;Magento Developer, eCommerce Developer, Full-Stack Developer, Backend Developer, Solution Developer;;Expert;;;
Adobe Commerce Developer Professional;CER-000056;Adobe;The Professional-level certification focuses on essential development skills for Adobe Commerce. It includes topics like theme customization, module development, and database management.;;VENDORPRODUCT;Adobe Commerce (Magento), Web Development Tools;Magento Developer, eCommerce Developer, Web Developer, Full-Stack Developer, PHP Developer;;Advanced;;;
Adobe Commerce Front-End Developer Expert;CER-000057;Adobe;This expert-level certification focuses on the front-end aspects of Adobe Commerce (Magento). It includes skills in front-end development, theme customization, and optimizing the user experience across devices.;;VENDORPRODUCT;Adobe Commerce (Magento), Front-End Development Tools;Front-End Developer, UX/UI Designer, eCommerce Front-End Developer, Web Developer, Digital Designer;;Expert;;;
Adobe Commerce Front-End Developer Professional;CER-000058;Adobe;This certification focuses on professional-level front-end development skills for Adobe Commerce. It covers responsive design, theme customization, and integration of third-party tools.;;VENDORPRODUCT;Adobe Commerce (Magento), Front-End Development Tools;Front-End Developer, UX/UI Developer, Web Developer, eCommerce Developer, Digital Experience Designer;;Advanced;;;
Adobe Connect Pro 7 Certified;CER-000059;Adobe;Validates ability to set up, manage, and host online meetings, webinars, and e-learning sessions using Adobe Connect Pro 7.;;VENDORPRODUCT;Adobe Connect;Virtual Event Producer, LMS Administrator, Technical Trainer, Webinar Specialist, IT Support Engineer;;Intermediate;;;
Adobe Customer Journey Analytics Business Practitioner Professional;CER-000060;Adobe;This certification covers using Adobe Customer Journey Analytics to analyze customer data and optimize marketing strategies. It focuses on understanding and applying analytics to enhance customer journeys across channels.;;VENDORPRODUCT;Adobe Customer Journey Analytics, Customer Data Tools;Data Analyst, Marketing Analyst, Customer Experience Specialist, Digital Marketing Manager, Insights Analyst;;Advanced;;;
Adobe Customer Journey Analytics Developer Expert;CER-000061;Adobe;This certification focuses on advanced technical skills required to integrate and customize Adobe Customer Journey Analytics. It covers data collection, implementation, and custom reporting to enhance customer experience strategies.;;VENDORPRODUCT;Adobe Customer Journey Analytics, Data Integration Tools;Data Integration Specialist, Marketing Data Developer, Analytics Developer, Digital Transformation Consultant, Data Engineer;;Expert;;;
Adobe Customer Journey Analytics Developer Professional;CER-000062;Adobe;This certification covers the core development skills necessary to implement and configure Adobe Customer Journey Analytics. It includes building custom reports, integrating data sources, and analyzing customer journeys.;;VENDORPRODUCT;Adobe Customer Journey Analytics, Analytics Tools;Analytics Developer, Data Integration Engineer, Customer Experience Developer, Marketing Analyst, Data Scientist;;Advanced;;;
Adobe Document Cloud Business Practitioner Professional;CER-000063;Adobe;This certification is for professionals using Adobe Document Cloud to manage document workflows, digital signatures, and document collaboration. It emphasizes optimizing business processes and improving productivity.;;VENDORPRODUCT;Adobe Document Cloud, Document Workflow Tools;Document Management Specialist, Workflow Consultant, IT Project Manager, Document Solutions Specialist, Business Process Analyst;;Advanced;;;
Adobe Experience Manager Architect Master;CER-000064;Adobe;Recognizes expertise in architecting scalable AEM solutions including infrastructure, integration, and customization.;;VENDORPRODUCT;Adobe Experience Manager;AEM Architect, Solutions Architect, Technical Lead, Systems Integrator, Web Platform Engineer;;Expert;;;
Adobe Experience Manager as a Cloud Service Migration Expert;CER-000065;Adobe;This certification focuses on migrating and optimizing Adobe Experience Manager (AEM) solutions to Adobe Experience Manager as a Cloud Service. It includes best practices for cloud architecture, data migration, and seamless transitions.;;VENDORPRODUCT;Adobe Experience Manager, Cloud Service Platforms;Cloud Architect, AEM Migration Specialist, Cloud Solutions Consultant, Systems Engineer, Digital Experience Architect;;Expert;;;
Adobe Experience Manager Assets Developer Professional;CER-000066;Adobe;This certification covers advanced skills for managing and developing digital assets within Adobe Experience Manager. It includes creating and optimizing asset workflows, metadata management, and asset-driven marketing strategies.;;VENDORPRODUCT;Adobe Experience Manager, Digital Asset Management Tools;AEM Assets Developer, Digital Asset Manager, Web Developer, Content Management Specialist, AEM Developer;;Advanced;;;
Adobe Experience Manager Backend Forms Developer Professional;CER-000067;Adobe;This certification focuses on backend development skills for managing forms in Adobe Experience Manager. It includes creating dynamic forms, managing form data, and integrating them with enterprise systems.;;VENDORPRODUCT;Adobe Experience Manager, Backend Development Tools;AEM Backend Developer, Forms Developer, Web Developer, CMS Developer, Digital Experience Specialist;;Advanced;;;
Adobe Experience Manager Business Practitioner Professional;CER-000068;Adobe;This certification is designed for professionals focused on business processes within Adobe Experience Manager. It covers content management, site optimization, and user experience strategies in AEM.;;VENDORPRODUCT;Adobe Experience Manager, Content Management Tools;Content Manager, Digital Experience Manager, Web Content Specialist, Marketing Manager, AEM Specialist;;Advanced;;;
Adobe Experience Manager Developer Expert;CER-000069;Adobe;Validates skills in building, configuring, and deploying AEM components, templates, and workflows.;;VENDORPRODUCT;Adobe Experience Manager;AEM Developer, Web Developer, CMS Engineer, Front-End Developer, Digital Experience Engineer;;Intermediate;;;
Adobe Experience Manager DevOps Engineer Expert;CER-000070;Adobe;The DevOps Engineer Expert certification focuses on the deployment, maintenance, and scalability of Adobe Experience Manager solutions. It covers cloud configurations, continuous integration, and automated deployment processes.;;VENDORPRODUCT;Adobe Experience Manager, Cloud Infrastructure Tools;DevOps Engineer, Cloud Infrastructure Engineer, AEM Operations Manager, Site Reliability Engineer, Systems Administrator;;Expert;;;
Adobe Experience Manager Digital Librarian Professional;CER-000071;Adobe;This certification focuses on managing and organizing digital content within Adobe Experience Manager. It includes tasks such as content curation, metadata management, and content accessibility strategies.;;VENDORPRODUCT;Adobe Experience Manager, Digital Content Management;Digital Librarian, Content Manager, Web Content Specialist, Digital Archivist, AEM Content Specialist;;Advanced;;;
Adobe Experience Manager Forms Developer Expert;CER-000072;Adobe;This certification is for advanced developers specializing in the creation and customization of dynamic forms within Adobe Experience Manager (AEM). It focuses on integrating complex form workflows, data collection, and enterprise system connections.;;VENDORPRODUCT;Adobe Experience Manager, AEM Forms;AEM Forms Developer, Web Developer, CMS Developer, Digital Experience Developer, Forms Specialist;;Expert;;;
Adobe Experience Manager Sites Architect Master;CER-000073;Adobe;This master-level certification focuses on AEM Sites architecture. It covers advanced topics such as site architecture design, scalability, cloud deployment, and integration with third-party systems. It is ideal for those looking to lead AEM Sites implementations.;;VENDORPRODUCT;Adobe Experience Manager, AEM Sites;AEM Solutions Architect, Site Architect, Digital Experience Architect, Technical Lead, CMS Architect;;Expert;;;
Adobe Experience Manager Sites Business Practitioner Expert;CER-000074;Adobe;This certification focuses on using Adobe Experience Manager Sites to create and optimize customer-facing websites and digital content. It includes content management, site optimization, and the effective use of AEM for web content management.;;VENDORPRODUCT;Adobe Experience Manager, Web Content Management Tools;Digital Content Manager, Marketing Manager, Content Strategist, AEM Site Specialist, Business Analyst;;Expert;;;
Adobe Experience Manager Sites Content Author Professional;CER-000075;Adobe;This certification is aimed at professionals who manage content creation and publishing within AEM Sites. It covers content authoring, content governance, and basic site management strategies in AEM.;;VENDORPRODUCT;Adobe Experience Manager, Content Management Tools;Content Author, Web Content Specialist, Digital Marketing Specialist, AEM Content Manager, Content Strategist;;Advanced;;;
Adobe Experience Manager Sites Developer Expert;CER-000076;Adobe;This expert-level certification focuses on advanced development skills for AEM Sites. It includes component development, integration, and customizations for optimizing website performance, scalability, and user experience.;;VENDORPRODUCT;Adobe Experience Manager, AEM Sites Development;AEM Developer, Web Developer, Full-Stack Developer, AEM Solutions Developer, Site Developer;;Expert;;;
Adobe Experience Manager Sites Developer Professional;CER-000077;Adobe;This certification covers key development skills needed for AEM Sites. It focuses on creating and customizing components, templates, and pages to optimize site performance and meet business requirements.;;VENDORPRODUCT;Adobe Experience Manager, Web Development Tools;AEM Developer, Web Developer, Front-End Developer, Full-Stack Developer, CMS Developer;;Advanced;;;
Adobe Experience Manager Technical Foundations Professional;CER-000078;Adobe;This certification provides foundational knowledge of Adobe Experience Manager, including core concepts such as content management, workflows, and site architecture. It is ideal for individuals new to AEM.;;VENDORPRODUCT;Adobe Experience Manager, CMS Tools;AEM Developer, CMS Developer, Digital Marketing Specialist, Web Developer, Technical Consultant;;Advanced;;;
Adobe Firefly Services Qualified Credential (Beta);CER-000079;Adobe;This is a beta certification focused on Adobe Firefly, Adobe's generative AI platform. It covers the basics of using Firefly for content creation, AI-driven marketing, and automating workflows with Adobe tools.;;VENDORPRODUCT;Adobe Firefly, AI Tools;Digital Content Creator, AI Specialist, Marketing Specialist, Automation Expert, Data Scientist;;Beginner;;;
Adobe Journey Optimizer Business Practitioner Professional;CER-000080;Adobe;This certification focuses on the use of Adobe Journey Optimizer for orchestrating personalized customer journeys. It covers strategies for optimizing marketing workflows and improving customer engagement across channels.;;VENDORPRODUCT;Adobe Journey Optimizer, Marketing Automation Tools;Marketing Manager, Campaign Manager, Customer Journey Specialist, Digital Marketing Analyst, Customer Experience Manager;;Advanced;;;
Adobe Journey Optimizer Developer Expert;CER-000081;Adobe;This expert-level certification is for developers working with Adobe Journey Optimizer. It focuses on advanced customization, integrations, and implementing AI-powered personalization techniques to optimize customer journeys.;;VENDORPRODUCT;Adobe Journey Optimizer, Marketing Automation Development;Journey Optimizer Developer, Marketing Automation Developer, Full-Stack Developer, Technical Consultant, Digital Experience Developer;;Expert;;;
Adobe Marketo Engage Architect Master;CER-000082;Adobe;This master-level certification is for architects designing and deploying marketing solutions using Adobe Marketo Engage. It focuses on advanced Marketo implementations, integration with other platforms, and optimizing marketing workflows at scale.;;VENDORPRODUCT;Adobe Marketo Engage, Marketing Automation Solutions;Marketing Solutions Architect, Marketing Automation Architect, Senior Marketing Consultant, Digital Marketing Strategist, Marketing Technology Specialist;;Expert;;;
Adobe Marketo Engage Business Practitioner Expert;CER-000083;Adobe;This certification focuses on mastering business strategies within Adobe Marketo Engage, including campaign creation, lead management, and measuring marketing effectiveness through analytics.;;VENDORPRODUCT;Adobe Marketo Engage, Marketing Automation Tools;Marketing Manager, Campaign Manager, Marketing Analyst, Lead Generation Specialist, Digital Marketing Strategist;;Expert;;;
Adobe Marketo Engage Business Practitioner Professional;CER-000084;Adobe;This certification focuses on practical application of Adobe Marketo Engage for campaign management, lead nurturing, and marketing automation at an operational level.;;VENDORPRODUCT;Adobe Marketo Engage, Marketing Automation Tools;Marketing Specialist, Campaign Manager, Digital Marketing Specialist, Marketing Operations Manager, Lead Generation Expert;;Advanced;;;
