name;serial_number;description;icon_url;metadata;score
Advertising & Marketing;IND-000018;Creates campaigns that promote brands, products, and services. Uses market research, creative content, digital platforms, and analytics. Helps organizations attract and retain customers.;;;
Banking;IND-000019;Provides financial services including deposits, loans, payments, and wealth management. Supports individuals, businesses, and governments. Operates under strict financial regulations and risk management standards.;;;
Business Services;IND-000020;Delivers professional support such as outsourcing, administration, customer service, and facility management. Helps organizations improve efficiency and reduce costs. Serves businesses across multiple industries.;;;
Entertainment and Broadcasting;IND-000021;Produces and distributes television, radio, film, music, and digital media content. Combines creativity with media technology and distribution platforms. Generates revenue through advertising, subscriptions, and licensing.;;;
Financial Services;IND-000022;Offers investment, asset management, brokerage, lending, and financial advisory services. Helps individuals and organizations manage capital and financial risks. Relies on regulatory compliance and financial expertise.;;;
Hospitality;IND-000023;Provides accommodation, food service, tourism, and event management. Focuses on customer experience and service quality. Includes hotels, restaurants, resorts, and travel businesses.;;;
Insurance;IND-000024;Protects individuals and organizations against financial losses through insurance products. Covers life, health, property, and commercial risks. Relies on underwriting, actuarial analysis, and claims management.;;;
Legal Services;IND-000025;Provides legal advice, representation, compliance, and dispute resolution. Serves businesses, governments, and individuals. Requires expertise in laws, regulations, and legal procedures.;;;
Management Consulting;IND-000026;Advises organizations on strategy, operations, technology, and organizational improvement. Helps clients solve business challenges and improve performance. Consultants work across many industries and functions.;;;
Personal Services;IND-000027;Delivers services directly to consumers, including beauty, wellness, fitness, and personal care. Focuses on customer relationships and service quality. Demand is driven by lifestyle and consumer preferences.;;;
Publishing;IND-000028;Produces books, journals, newspapers, magazines, and digital publications. Manages editorial, production, and content distribution processes. Increasingly emphasizes digital platforms and online content.;;;
Real Estate;IND-000029;Develops, buys, sells, leases, and manages residential and commercial properties. Includes property investment, construction, and facility management. Supports housing, business, and infrastructure needs.;;;
Recruitment;IND-000030;Helps organizations attract, assess, and hire employees. Provides staffing, executive search, and workforce solutions. Supports employers across industries and job levels.;;;
Retail;IND-000031;Sells products directly to consumers through physical stores and online platforms. Manages merchandising, customer service, and inventory. Success depends on consumer demand and efficient supply chains.;;;
Transport;IND-000032;Moves people and goods by road, rail, air, and sea. Includes logistics, freight, shipping, and public transportation. Plays a vital role in global trade and economic activity.;;;
Computer Hardware;IND-000033;Designs and manufactures computers, servers, storage devices, and related hardware. Focuses on performance, reliability, and innovation. Supports consumer, enterprise, and industrial computing.;;;
Computer Software;IND-000034;Develops software applications and operating systems for personal and business use. Covers design, coding, testing, and maintenance. Drives digital transformation across industries.;;;
Enterprise Software;IND-000035;Creates software solutions for business operations such as ERP, CRM, finance, and HR systems. Helps organizations improve efficiency and decision-making. Typically serves medium and large enterprises.;;;
Gaming Industry;IND-000036;Develops, publishes, and distributes video games across consoles, PCs, and mobile devices. Combines software development, storytelling, design, and online services. Revenue comes from game sales, subscriptions, and in-game purchases.;;;
Industry Specific Software;IND-000037;Develops software tailored to specialized industries such as healthcare, finance, manufacturing, or education. Addresses unique regulatory and operational requirements. Enables organizations to improve productivity and compliance.;;;
IT Services;IND-000038;Provides technology consulting, systems integration, cloud services, cybersecurity, and technical support. Helps organizations implement and manage IT infrastructure. Enables digital transformation and operational efficiency.;;;
Mobile Applications;IND-000039;Designs and develops software for smartphones, tablets, and mobile devices. Covers consumer apps, enterprise solutions, and mobile commerce. Focuses on usability, performance, and continuous updates.;;;
Online Services;IND-000040;Delivers internet-based services such as e-commerce, cloud platforms, streaming, social media, and digital marketplaces. Operates through web and mobile technologies. Business models often rely on subscriptions, advertising, or transactions.;;;
PC Consumer Software;IND-000041;Develops desktop software for productivity, creativity, security, and entertainment. Serves individual users and small businesses. Emphasizes usability, compatibility, and regular feature updates.;;;
Robotics;IND-000042;Designs and builds robotic systems for manufacturing, healthcare, logistics, and service applications. Combines mechanical engineering, electronics, and artificial intelligence. Improves automation, productivity, and precision.;;;
Semiconductor;IND-000043;Designs and manufactures integrated circuits, microprocessors, memory chips, and electronic components. Forms the foundation of modern computing and communications. Requires advanced fabrication technologies and significant research investment.;;;
Telecommunications;IND-000044;Provides voice, data, internet, and wireless communication services. Builds and operates communication networks and infrastructure. Supports businesses, governments, and consumers worldwide.;;;
Education;IND-000045;Provides teaching, learning, training, and academic research services. Includes schools, universities, vocational institutions, and educational technology providers. Develops knowledge, skills, and workforce capabilities.;;;
Army;IND-000046;Protects national security through military operations, defense planning, and peacekeeping activities. Employs personnel in combat, engineering, intelligence, logistics, healthcare, and administration. Focuses on readiness, discipline, and national defense.;;;
Government;IND-000047;Delivers public administration, policy development, regulation, and public services. Includes local, regional, and national government agencies. Supports economic development, public safety, healthcare, education, and infrastructure.;;;
