name;serial_number;type;description;website_url;logo_url;country_id;city_id;student_count;metadata;score_university;local_name;notes;established;score;undergraduates;postgraduates
University of Bristol;UNI-000061;Public Research University;;;;UK;Bristol,England;27000;;;University of Bristol;Russell Group;1833;;18000;9000
University of Oslo;UNI-000062;Public Research University;;;;Norway;Oslo;28000;;;Universitetet i Oslo;Known for Humanities, Natural Sciences and Social Sciences;1811;;20000;8000
Uppsala University;UNI-000063;Public Research University;;;;Sweden;Uppsala;30000;;;Uppsala universitet;Known for Humanities, Life Sciences and Social Sciences;1477;;20000;10000
University of California, Irvine;UNI-000064;Public Research University;;;;USA;Irvine,California;36000;;;University of California, Irvine;Public Ivy League;1965;;30000;6000
Aarhus University;UNI-000065;Public Research University;;;;Denmark;Aarhus;40000;;;Aarhus Universitet;Known for Humanities, Business and Natural Sciences;1928;;25000;15000
McMaster University;UNI-000066;Public Research University;;;;Canada;Hamilton,Ontario;30000;;;McMaster University;U15 Group;1887;;20000;10000
McGill University;UNI-000067;Public Research University;;;;Canada;Montreal,Quebec;40000;;;Université McGill;World-renowned university. U15 Group.;1821;;30000;10000
University of Pittsburgh, Pittsburgh Campus;UNI-000068;Public Research University;;;;USA;Pittsburgh,Pennsylvania;28000;;;University of Pittsburgh;Public Ivy League;1787;;19000;9000
École Normale Supérieure - Paris;UNI-000069;Public Research University;;;;France;Paris;1800;;;École normale supérieure;Elite university in France;1794;;600;1200
Ghent University;UNI-000070;Public Research University;;;;Belgium;Ghent;45000;;;Universiteit Gent;Known for Medical Sciences, Engineering and Life Sciences;1817;;30000;15000
Mayo Medical School;UNI-000071;Private Medical School;;;;USA;Rochester,Minnesota;1000;;;Mayo Medical School;Known for Medical Education and Clinical Research;1972;; N/A (graduate-only institution);1000
Peking University;UNI-000072;Public Research University;;;;China;Beijing;45000;;;北京大学;World prestigious university. C9 League.;1898;;20000;25000
Erasmus University;UNI-000073;Public Research University;;;;Netherlands;Rotterdam;28000;;;Erasmus Universiteit Rotterdam;Known for Social Sciences, Business and Medical Sciences;1913;;15000;13000
Rice University;UNI-000074;Private Research University;;;;USA;Houston,Texas;7000;;;Rice University;Highly selective. Hidden Ivy League.;1912;;4000;3000
Stockholm University;UNI-000075;Public Research University;;;;Sweden;Stockholm;30000;;;Stockholms universitet;Known for Humanities, Life Sciences and Social Sciences;1878;;20000;10000
Swiss Federal Institute of Technology Lausanne;UNI-000076;Public Research University;;;;Switzerland;Lausanne;12000;;;École polytechnique fédérale de Lausanne (EPFL);World-renowned university;1853;;6000;6000
Purdue University - West Lafayette;UNI-000077;Public Research University;;;;USA;West Lafayette,Indiana;45000;;;Purdue University;World-renowned university, public Ivy League;1869;;30000;15000
Monash University;UNI-000078;Public Research University;;;;Australia;Melbourne,Victoria;80000;;;Monash University;Group of Eight (Go8);1958;;55000;25000
Rutgers, The State University of New Jersey - New Brunswick;UNI-000079;Public Research University;;;;USA;New Brunswick,New Jersey;50000;;;Rutgers, The State University of New Jersey–New Brunswick;"Public Ivy League
";1766;;35000;15000
Boston University;UNI-000080;Private Research University;;;;USA;Boston,Massachusetts;35000;;;Boston University;World-renowned university;1839;;16000;19000
Carnegie Mellon University;UNI-000081;Private Research University;;;;USA;Pittsburgh,Pennsylvania;14000;;;Carnegie Mellon University;World-renowned university. Highly selective.;1900;;7000;7000
The Ohio State University - Columbus;UNI-000082;Public Research University;;;;USA;Columbus,Ohio;61000;;;The Ohio State University;World-renowned university, public Ivy League;1870;;47000;14000
University of Sydney;UNI-000083;Public Research University;;;;Australia;Sydney,New South Wales;45000;;;The University of Sydney;World-renowned university. Group of Eight (Go8).;1850;;30000;15000
Nagoya University;UNI-000084;Public Research University;;;;Japan;Nagoya,Aichi;20000;;;名古屋大学;World-renowned university. Imperial university.;1871;;12000;8000
Georgia Institute of Technology;UNI-000085;Public Research University;;;;USA;Atlanta,Georgia;30000;;;Georgia Institute of Technology;World-renowned university, public Ivy League, highly selective.;1885;;15000;15000
Pennsylvania State University - University Park;UNI-000086;Public Research University;;;;USA;University Park,Pennsylvania;46000;;;The Pennsylvania State University;World-renowned university, public Ivy League;1855;;40000;6000
University of California, Davis;UNI-000087;Public Research University;;;;USA;Davis,California;39000;;;University of California, Davis;World-renowned university, public Ivy League;1905;;30000;9000
Leiden University;UNI-000088;Public Research University;;;;Netherlands;Leiden;30000;;;Universiteit Leiden;World-renowned university;1575;;20000;10000
University of Florida;UNI-000089;Public Research University;;;;USA;Gainesville,Florida;55000;;;University of Florida;World-renowned university, public Ivy League;1853;;35000;20000
KU Leuven;UNI-000090;Public Research University;;;;Belgium;Leuven;60000;;;Katholieke Universiteit Leuven;World-renowned university;1425;;40000;20000
National University of Singapore;UNI-000091;Public Research University;;;;Singapore;Singapore;40000;;;National University of Singapore;World-renowned university;1905;;28000;12000
The University of Western Australia;UNI-000092;Public Research University;;;;Australia;Perth,Western Australia;25000;;;The University of Western Australia;Group of Eight (Go8);1911;;18000;7000
Moscow State University;UNI-000093;Public Research University;;;;Russia;Moscow;40000;;;Московский государственный университет имени М. В. Ломоносова;World-renowned university. Elite university in Russia.;1755;;25000;15000
University of Basel;UNI-000094;Public Research University;;;;Switzerland;Basel;13000;;;Universität Basel;Known for Medical Sciences, Life Sciences and Humanities;1460;;7000;6000
University of Göttingen;UNI-000095;Public Research University;;;;Germany;Göttingen;30000;;;Georg-August-Universität Göttingen;Elite university in Germany;1737;;20000;10000
The Australian National University;UNI-000096;Public Research University;;;;Australia;Canberra;20000;;;The Australian National University;World-renowned university. Group of Eight (Go8).;1946;;10000;10000
University of California, Santa Cruz;UNI-000097;Public Research University;;;;USA;Santa Cruz,California;20000;;;University of California, Santa Cruz;Known for Social Sciences, Natural Sciences and Arts;1962;;18000;2000
Cardiff University;UNI-000098;Public Research University;;;;UK;Cardiff,Wales;30000;;;Prifysgol Caerdydd;Russell Group;1883;;20000;10000
University of Arizona;UNI-000099;Public Research University;;;;USA;Tucson,Arizona;45000;;;University of Arizona;World-renowned university, public Ivy League;1885;;34000;11000
King Saud University;UNI-000100;Public Research University;;;;Saudi Arabia;Riyadh;61000;;;جامعة الملك سعود;Leading public university in Saudi Arabia. Flagship institution with strong research programs and broad academic offerings.;1957;;38000;23000
